Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-300.3053	49.303986	-246.17694	-387.4339	-595.7685	0.9174918	-593.9791	-597.3286	1000.0	1000.0	5000	13.713375	11.696678	51.28627	-3.46876	-15.80348	0.5953612	21.121220111846924
2	-291.57355	68.32383	-191.80629	-399.64886	-593.3842	1.3151878	-591.15283	-595.2843	1000.0	1000.0	10000	72.12903	17.685513	109.887146	23.251911	-75.51028	1.947634	40.771713972091675
3	-525.09424	171.32661	-250.56174	-790.85	-575.1023	92.78862	-411.37158	-782.8418	1000.0	1000.0	15000	99.24686	5.9666605	126.32127	77.57285	-101.222916	1.8685789	69.0541501045227
4	-302.81363	330.99646	65.77488	-705.8023	-39.650993	76.06724	41.287025	-194.48557	1000.0	1000.0	20000	110.26633	9.178861	140.389	86.44776	-111.91344	2.2420497	98.08346486091614
5	-114.78883	194.99763	158.7565	-381.01947	156.94249	123.89382	344.8838	-123.45014	1000.0	1000.0	25000	105.581314	12.72854	146.45482	77.09434	-106.68779	2.2256832	121.37245893478394
6	418.68378	251.69775	762.5979	106.739746	714.2312	329.41544	1261.9198	333.8958	1000.0	1000.0	30000	98.87415	14.342574	141.29721	69.06127	-99.85033	2.2011597	145.5323839187622
7	635.99255	528.4304	1685.6989	297.9322	1683.3367	408.1588	2119.2705	543.31213	1000.0	1000.0	35000	95.45059	17.910511	152.5551	64.867935	-96.519264	2.6906614	176.75199818611145
8	1526.1746	629.22925	2273.491	420.2649	624.9902	350.70804	1345.16	206.72498	1000.0	1000.0	40000	101.60305	26.265398	185.73912	62.94288	-102.8121	3.7353325	202.05503606796265
9	1054.6692	875.3077	2592.4397	-35.86624	1118.9382	469.2244	1915.543	591.2059	1000.0	1000.0	45000	111.49716	36.013435	208.44754	61.782047	-112.809326	5.1967416	231.19010710716248
10	2313.967	94.74413	2462.2476	2188.8901	2396.5835	144.02179	2735.3164	2156.3296	1000.0	1000.0	50000	126.4075	46.585052	234.46974	58.69659	-127.7918	6.90045	258.7170240879059
11	2623.8784	204.75348	2837.6912	2362.9404	2146.609	1115.9802	3087.2632	90.98204	1000.0	1000.0	55000	146.4414	55.866154	258.41397	57.61743	-147.9467	7.9516797	285.764995098114
12	2230.9587	921.91504	2910.3274	442.03467	1953.3802	1047.8453	2953.4343	62.274464	1000.0	1000.0	60000	167.29651	62.363636	283.29126	60.384953	-168.86845	9.067799	308.1050019264221
13	1937.114	1113.7748	3194.5742	349.13132	2915.4758	358.40912	3280.4866	1938.8525	1000.0	1000.0	65000	183.87108	68.95363	302.99496	65.20793	-185.41666	10.7588625	329.4835629463196
14	2890.027	421.82037	3195.1187	2055.468	2805.7524	993.1523	3393.119	580.8531	1000.0	1000.0	70000	202.10121	75.65339	324.91397	62.402008	-203.69678	12.170148	351.6166150569916
15	3048.188	272.08954	3433.3403	2744.6113	3162.0112	832.1278	3793.8386	1077.8374	1000.0	1000.0	75000	220.13614	80.91749	345.83734	58.898933	-221.76538	13.500719	373.6797580718994
16	3175.593	700.2053	3816.8628	1810.9274	2772.9375	1107.9174	3509.8867	278.3878	1000.0	1000.0	80000	238.49068	84.556175	362.30338	62.397743	-240.14145	13.702942	398.61043405532837
17	2938.516	1176.6364	3815.505	640.7479	2879.7524	833.8057	3988.489	1289.7413	1000.0	1000.0	85000	252.19223	88.796326	377.05136	59.605103	-253.79555	14.422685	422.75189900398254
18	2941.397	1067.5546	3690.345	818.8481	3667.7485	135.0496	3901.9673	3382.588	1000.0	1000.0	90000	266.96417	92.75361	392.359	58.787285	-268.58533	14.994909	446.8788158893585
19	3762.2466	165.66284	4004.8635	3484.4617	4007.7566	86.21693	4113.3315	3868.228	1000.0	1000.0	95000	281.87802	95.511925	408.6512	60.54589	-283.55005	15.462575	469.43353486061096
20	3806.4578	233.37035	4021.4727	3445.563	3395.855	906.53876	4040.0276	848.4284	1000.0	1000.0	100000	296.9551	97.29199	421.85626	63.76748	-298.64938	15.296743	491.6634039878845
21	3438.1973	1104.1545	4202.4365	1243.0953	2714.8677	1246.0276	3795.9998	194.77293	1000.0	1000.0	105000	309.51587	98.91275	431.91626	72.43989	-311.20786	15.437466	516.7943260669708
22	3709.716	190.4062	4018.687	3434.9282	3468.3464	185.95918	3788.6592	3081.0034	1000.0	1000.0	110000	322.63947	99.39975	443.76666	77.35905	-324.3294	15.384181	539.6964399814606
23	3674.8125	547.36096	4098.4434	2610.4475	4224.054	118.97764	4368.2686	3982.899	1000.0	1000.0	115000	333.7794	99.41329	454.97162	84.54171	-335.43274	16.130907	562.0145890712738
