Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-312.87396	85.441444	-196.85623	-437.00198	-172.35951	1.8965775	-168.496	-176.52162	1000.0	1000.0	5000	8.199059	7.5717015	40.827015	-16.912786	-9.648667	1.0201346	52.37662172317505
2	-325.99487	63.08979	-217.17906	-411.14877	-206.26025	1.6711544	-203.44606	-208.71832	1000.0	1000.0	10000	47.880775	19.359106	114.1841	2.5406556	-50.871044	1.7488612	103.77961087226868
3	-96.00076	51.5737	-21.434711	-172.23271	-143.86108	43.403313	-15.968944	-171.0878	1000.0	1000.0	15000	108.42879	22.652754	174.31418	38.10516	-112.44063	2.158015	159.57455897331238
4	-13.727514	95.0666	98.108826	-188.21524	139.71272	153.80302	292.9746	-216.1395	1000.0	1000.0	20000	202.77757	61.996025	444.1441	90.10979	-210.96169	4.932857	214.97555470466614
5	-127.97367	182.22774	171.85556	-371.3391	-131.78304	9.499585	-115.44813	-145.89699	1000.0	1000.0	25000	408.22473	212.2926	996.14734	154.66853	-422.72452	10.543167	270.4572377204895
6	-187.17249	153.09328	53.35802	-313.71643	-336.39	17.615957	-301.41586	-361.326	1000.0	1000.0	30000	677.1206	415.13718	1618.651	215.89677	-695.65784	16.2548	326.3215138912201
7	-155.79703	141.07909	61.895622	-357.1233	-165.84601	36.964375	-104.02516	-214.95624	1000.0	1000.0	35000	958.00574	639.4694	2154.0173	286.92227	-978.5737	20.80732	381.6518087387085
8	-112.09908	86.375244	-4.0105214	-266.70364	-57.64287	25.93537	-2.4579465	-108.94008	1000.0	1000.0	40000	1204.1293	845.3908	2691.302	372.0067	-1225.6014	22.594112	436.9231448173523
9	-115.86211	51.00427	-62.741028	-198.44298	35.951767	35.82167	77.75578	-55.86639	1000.0	1000.0	45000	1402.8181	992.49524	3085.9746	451.96082	-1423.8945	22.7936	495.0938057899475
10	-143.81909	53.733334	-87.34995	-240.30476	-310.79108	16.547659	-270.5278	-337.09238	1000.0	1000.0	50000	1544.4854	1086.8292	3303.9514	489.37695	-1564.8759	22.686632	553.9157798290253
11	-79.90674	93.74391	31.262558	-238.1245	32.222725	15.794815	55.621723	3.9467652	1000.0	1000.0	55000	1634.8914	1137.2618	3323.6929	485.27167	-1654.3737	21.049372	609.7090706825256
12	-152.49374	95.05581	-36.750763	-259.61008	10.553926	32.23396	44.76216	-53.11993	1000.0	1000.0	60000	1694.4896	1146.7482	3284.6194	488.7844	-1713.4165	21.09071	667.1532249450684
13	-33.105896	116.852455	115.861534	-231.4028	221.73999	14.51493	251.50179	201.30457	1000.0	1000.0	65000	1714.1318	1106.7455	3301.417	532.8782	-1731.4053	20.291191	723.7155058383942
14	65.01836	50.804558	131.4783	-0.85411096	129.6652	15.705207	155.9809	100.181625	1000.0	1000.0	70000	1702.3225	1042.6218	3288.0674	531.5771	-1718.9664	17.630613	779.0435378551483
15	-56.430706	69.59788	35.55079	-148.51128	-4.43896	18.814455	21.857613	-38.83368	1000.0	1000.0	75000	1677.4287	989.5083	3278.9333	532.0936	-1692.8635	15.058674	834.5628700256348
16	-35.10802	65.508705	69.08156	-103.580765	29.316275	20.838135	52.695644	-1.7626697	1000.0	1000.0	80000	1626.2292	937.04596	3239.7988	535.043	-1639.9823	13.097164	889.9074819087982
17	-0.24777813	27.200829	51.13095	-22.488686	131.12677	16.411345	159.0872	96.80081	1000.0	1000.0	85000	1545.8019	889.36707	3143.3662	535.08044	-1558.2485	11.345855	945.3179228305817
18	-311.89508	140.90283	-86.16812	-483.1048	-400.76608	10.25654	-386.62445	-421.9423	1000.0	1000.0	90000	1488.6133	848.7322	3024.4329	521.6662	-1501.9543	10.49553	1000.7571709156036
19	-87.52178	171.98993	122.169106	-297.62076	209.64001	15.148854	224.87589	170.15732	1000.0	1000.0	95000	1441.888	807.1482	2884.7153	481.30133	-1454.5236	9.550997	1057.388799905777
