Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-267.16803	93.09438	-149.118	-363.37088	-595.0145	1.0961081	-592.57336	-596.5765	1000.0	1000.0	5000	9.439537	8.85245	45.250435	-5.8649654	-10.961606	0.7436578	76.98986029624939
2	-283.85162	80.480484	-206.83737	-429.5839	-595.15607	1.0030302	-593.2004	-596.9069	1000.0	1000.0	10000	49.426228	18.343872	106.7678	14.551881	-52.07516	1.3396662	149.75488471984863
3	-338.62738	124.604774	-193.32985	-551.49384	-227.39969	11.358603	-208.32816	-248.01003	1000.0	1000.0	15000	80.7514	15.604162	115.93053	34.792225	-82.680565	1.7000041	223.23047351837158
4	-206.10234	78.058266	-118.34625	-331.62375	-70.98567	74.1508	2.505779	-246.30388	1000.0	1000.0	20000	108.33695	32.74154	215.54881	64.706436	-111.34906	2.3963168	298.36310863494873
5	-34.286156	41.634617	19.374187	-88.655266	-37.884842	115.19222	189.06793	-161.24942	1000.0	1000.0	25000	160.2837	86.48557	335.54016	64.13599	-164.55542	4.3044844	375.2136514186859
6	-54.098988	116.57084	156.0626	-177.95534	-236.97188	80.21861	-91.113976	-371.82452	1000.0	1000.0	30000	201.40312	120.07158	379.40396	55.58264	-204.89267	4.0147357	449.9974446296692
7	-330.83997	78.53894	-228.0825	-470.72226	-311.52756	74.0866	-230.68623	-477.7284	1000.0	1000.0	35000	224.94034	132.22441	392.30518	64.305916	-228.06343	3.859691	526.3925738334656
8	-84.917946	105.838554	76.57477	-246.635	798.43726	464.42804	1409.3063	-4.305945	1000.0	1000.0	40000	228.57088	126.09642	384.8321	77.510216	-230.78603	3.6969125	604.7135338783264
9	558.6642	350.5636	954.97833	25.60589	947.3592	547.8267	1669.6675	95.72862	1000.0	1000.0	45000	220.49214	108.33609	368.46158	84.6106	-222.56206	3.6120484	684.3122112751007
10	575.98865	525.77234	1562.133	47.528328	334.49237	268.80215	805.2808	-56.780807	1000.0	1000.0	50000	215.13202	92.27194	363.7886	88.517555	-217.00708	4.23717	758.2751882076263
11	788.84265	438.09662	1520.731	265.50113	251.5335	392.83368	1394.3708	-15.222228	1000.0	1000.0	55000	206.84247	76.7406	351.81396	92.74966	-208.5406	5.17076	832.0715901851654
12	1080.8167	687.1083	2086.9114	-27.823547	2151.8171	492.56216	2520.5117	760.6431	1000.0	1000.0	60000	198.64038	64.01524	342.9075	97.69943	-200.09752	6.0319467	906.6246817111969
13	2160.7007	277.09167	2360.0667	1618.1282	2257.975	515.7978	2599.055	1133.8632	1000.0	1000.0	65000	193.48615	56.654976	331.1645	101.35632	-194.91797	7.096478	957.9009177684784
14	2514.3374	414.89243	3036.942	1766.6792	2622.5386	562.45825	3154.7131	1388.2874	1000.0	1000.0	70000	194.87022	57.336193	338.89377	102.1735	-196.43053	8.539786	1009.4347810745239
15	2692.8762	374.64227	2994.789	1972.4458	2425.0298	1253.7612	3551.977	58.681095	1000.0	1000.0	75000	202.51985	62.903534	349.8943	102.83661	-204.20872	10.250975	1081.285988330841
16	2690.761	903.2649	3420.8752	951.339	3559.4636	188.82393	3798.5457	3160.5774	1000.0	1000.0	80000	214.00061	69.55684	363.9395	106.45024	-215.74173	12.138943	1154.6815049648285
17	2419.6245	1098.578	3887.6235	1342.7343	3646.8145	574.36566	3999.9602	1940.7429	1000.0	1000.0	85000	223.5632	76.37997	374.01767	107.26948	-225.26186	13.437914	1230.098328113556
18	3521.8188	353.71402	3798.8745	2824.0405	3492.8555	246.64482	3698.1335	2923.3452	1000.0	1000.0	90000	234.5875	83.62044	385.89206	104.95095	-236.31563	15.191983	1306.333583831787
19	2122.3142	1460.7867	3747.3435	13.687574	2641.5042	1146.6688	4246.4463	824.4435	1000.0	1000.0	95000	245.22038	90.116196	414.14487	107.72982	-247.00604	16.540812	1383.54571890831
20	3302.097	1007.20215	4152.003	1369.637	2892.8076	1175.3691	4073.9832	616.3266	1000.0	1000.0	100000	258.44223	95.57419	437.67685	110.29493	-260.33124	18.401882	1462.7340731620789
21	2642.059	1407.6398	4007.3877	266.02094	1635.1029	1615.7892	3817.5195	-87.41819	1000.0	1000.0	105000	271.69702	99.994545	456.8008	111.87349	-273.6431	19.281336	1539.462884902954
22	2887.935	1274.8865	3995.2373	858.8215	1908.4668	1400.8699	4305.122	44.68484	1000.0	1000.0	110000	285.66705	103.55666	475.41904	118.97298	-287.63446	20.141323	1619.1420905590057
23	2016.4316	1545.7753	4072.4077	-57.737453	2919.0708	1158.8833	4038.6038	740.4456	1000.0	1000.0	115000	294.05212	106.78838	486.1023	119.25898	-295.9882	21.046663	1696.059453010559
24	3226.379	1273.591	3967.438	686.58435	4020.6711	936.2408	4559.6816	1236.8915	1000.0	1000.0	120000	303.2962	110.07008	494.4989	115.25023	-305.24988	21.582397	1772.7223463058472
25	4115.232	228.89793	4301.948	3675.1602	4121.8027	922.2411	4669.4946	1379.1534	1000.0	1000.0	125000	315.40463	112.57789	505.29083	113.23422	-317.3547	21.66865	1849.1365385055542
26	2112.3582	1637.374	4353.3457	-88.10656	4096.077	168.04233	4354.154	3818.0986	1000.0	1000.0	130000	325.1085	114.70045	516.82855	107.65485	-327.06113	22.02737	1925.9481828212738
27	2427.7358	1838.9852	4142.6426	-125.213196	4485.3394	103.77367	4716.9663	4353.5117	1000.0	1000.0	135000	330.9745	117.23723	526.6108	98.15331	-332.9301	22.649279	2002.099416732788
28	4236.618	217.52013	4494.483	3943.38	4670.8765	210.34943	4980.4854	4178.9556	1000.0	1000.0	140000	338.30704	119.78428	538.6504	94.605415	-340.24048	23.443539	2078.75967001915
