Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-286.28497	83.589005	-188.27708	-410.26907	-593.34766	3.278417	-585.02905	-597.38196	1000.0	1000.0	5000	1.8780669	3.8020902	20.834404	-7.807797	-2.913223	0.20815015	41.47882032394409
2	-252.74129	61.395294	-197.09795	-355.16052	-195.57187	287.10056	325.84442	-775.1446	1000.0	1000.0	10000	20.857323	9.763817	50.4106	-4.5607157	-23.798817	0.86326015	82.3654944896698
3	-186.9204	232.25954	154.04526	-493.0126	-356.70248	62.023075	-257.6579	-462.69745	1000.0	1000.0	15000	45.277096	9.559663	82.55151	12.699538	-47.576668	2.1519847	130.2677721977234
4	126.10411	284.7847	441.32837	-318.6655	-31.871012	100.590485	191.30261	-148.0163	1000.0	1000.0	20000	53.535877	12.986135	104.298454	22.14902	-54.799007	2.2314324	176.6798758506775
5	213.10185	299.18887	796.6756	-31.411535	399.03464	264.95206	912.8559	-151.64143	1000.0	1000.0	25000	58.859856	19.519321	116.76973	22.305363	-60.110214	2.4491763	223.12721467018127
6	448.9516	365.56833	967.83014	-140.63382	530.7157	326.70615	807.5238	-416.59027	1000.0	1000.0	30000	63.92921	24.925257	134.91745	23.452253	-65.16721	2.765524	269.5793626308441
7	964.7482	359.89645	1480.6681	553.7718	1123.0995	512.29095	1641.0154	78.58009	1000.0	1000.0	35000	69.459694	30.19236	154.19078	22.134762	-70.64187	3.361807	316.0250926017761
8	1422.4358	724.91077	2315.9478	401.7384	2366.4453	114.03875	2554.8215	2211.7324	1000.0	1000.0	40000	80.01874	37.568275	172.30743	24.434738	-81.306595	3.8648274	362.6089994907379
9	2343.293	263.5471	2688.248	1936.1835	1775.8132	951.8943	2816.1396	200.18434	1000.0	1000.0	45000	93.25493	46.421535	195.15475	25.929514	-94.69225	4.329776	409.4906575679779
10	2575.8875	317.83047	3017.9504	2039.4535	3152.2585	118.05602	3301.4517	2893.5156	1000.0	1000.0	50000	109.44625	54.59738	209.95561	27.677914	-110.71642	4.8205376	457.16413378715515
11	3062.8816	41.907093	3138.817	3022.942	3416.5984	126.565056	3669.6216	3224.3445	1000.0	1000.0	55000	126.9105	61.999447	230.83	32.801613	-128.33376	4.989758	503.6839244365692
12	3268.4097	162.72736	3437.8154	2992.3613	3542.4507	120.09742	3813.0686	3390.8647	1000.0	1000.0	60000	144.63234	68.13457	254.9722	38.710793	-146.14005	5.1868157	551.3638687133789
13	3384.845	170.55783	3706.1333	3214.6902	3406.9597	56.647472	3462.845	3289.7073	1000.0	1000.0	65000	162.3874	73.32432	271.86462	42.76902	-163.70515	5.526333	600.6261513233185
14	3622.4526	122.78061	3794.826	3441.8926	3782.2212	151.99713	3956.3992	3398.1807	1000.0	1000.0	70000	179.52133	77.84998	292.24097	47.297024	-181.10503	5.877792	647.5250539779663
15	3683.19	225.35893	4012.633	3319.481	3833.0938	150.70274	4071.5862	3617.0608	1000.0	1000.0	75000	196.43327	81.56413	307.49167	52.3008	-197.9193	6.5369425	694.0620338916779
16	2646.2156	1391.3594	4025.477	278.79947	3914.4126	104.10662	4083.6387	3754.7595	1000.0	1000.0	80000	209.03526	86.62921	325.23242	56.46831	-210.34544	7.2854815	740.2576463222504
17	4011.0923	117.459755	4155.877	3820.9302	4222.167	87.91921	4400.0874	4135.387	1000.0	1000.0	85000	222.36891	92.2844	344.88864	53.08364	-223.65567	8.167229	786.9392116069794
18	4008.8198	192.63805	4199.337	3691.406	3526.3423	757.97455	3979.8447	1297.918	1000.0	1000.0	90000	236.62845	97.07943	354.63287	54.69004	-238.01013	9.048694	833.7083575725555
19	4196.454	42.041203	4279.1504	4166.27	4264.8364	108.2059	4445.177	4118.6445	1000.0	1000.0	95000	251.21881	100.57389	371.33746	51.13393	-252.85785	9.775116	880.3061962127686
20	4155.427	160.72055	4269.1196	3855.963	2866.4683	1392.36	4356.681	-7.826138	1000.0	1000.0	100000	264.48645	103.536385	383.38623	58.075893	-265.96176	9.879083	927.0139045715332
21	4254.324	115.77653	4410.183	4069.4822	3643.2512	1136.1134	4433.7383	917.71954	1000.0	1000.0	105000	277.9047	104.54357	395.0822	51.05133	-279.3859	10.085815	973.7428872585297
22	3787.355	721.4368	4419.2407	2378.4436	4426.606	96.575325	4608.507	4288.4707	1000.0	1000.0	110000	290.1319	105.29515	406.8323	57.869797	-291.9181	10.380937	1020.5846335887909
23	4262.4204	302.55136	4547.568	3696.7776	4545.015	127.07058	4705.941	4257.3096	1000.0	1000.0	115000	301.13644	106.21787	417.2575	72.78426	-302.61206	10.791309	1067.4461851119995
24	4377.357	186.45256	4675.8716	4113.876	4235.1353	378.64407	4629.9785	3178.155	1000.0	1000.0	120000	312.24	106.076965	425.24045	76.49125	-313.76175	11.036759	1114.3490498065948
25	4326.05	162.28204	4577.8657	4152.6353	4650.187	167.75954	5093.8623	4468.7915	1000.0	1000.0	125000	322.2255	105.75448	433.80963	80.633644	-323.66418	11.537781	1161.1998596191406
26	4484.509	208.26012	4822.1694	4185.916	4294.402	1308.8383	4931.606	390.01544	1000.0	1000.0	130000	332.28375	104.74311	449.05637	73.79574	-333.90228	11.231546	1207.9666962623596
27	4408.4766	271.1808	4653.7295	3911.4504	4721.562	231.98338	4944.805	4076.9207	1000.0	1000.0	135000	341.78638	103.0209	453.3066	95.89745	-343.5051	11.455191	1254.6987245082855
28	3728.959	1838.4957	4786.0244	61.286255	4701.0967	222.414	4925.7603	4106.381	1000.0	1000.0	140000	351.01828	100.81022	459.99066	90.50009	-352.6637	11.521271	1301.6503672599792
29	4704.477	80.14567	4804.527	4577.3086	4855.134	167.8487	5126.993	4556.0356	1000.0	1000.0	145000	358.56573	99.83009	468.18118	106.18987	-359.99084	11.570248	1348.3160436153412
30	4706.2017	134.90402	4953.6553	4591.8037	4693.097	853.83026	5233.0957	2165.0544	1000.0	1000.0	150000	366.02618	99.95486	473.49484	118.59198	-367.52332	11.35535	1395.2097790241241
31	4847.111	99.99157	5009.369	4724.142	4947.665	110.62114	5107.545	4732.6396	1000.0	1000.0	155000	373.33328	101.14332	481.56085	122.86276	-374.827	11.540988	1442.1263890266418
32	4823.568	91.985954	4927.175	4718.5386	5016.6567	434.1981	5274.6	3757.1758	1000.0	1000.0	160000	380.44495	102.002075	492.5469	116.836105	-382.01633	11.734947	1488.8307631015778
33	4972.1646	109.0239	5179.275	4883.242	5140.4194	190.10983	5566.1313	4848.549	1000.0	1000.0	165000	387.7366	102.62594	497.138	118.50199	-389.23804	11.897892	1535.5311162471771
34	5061.694	123.959755	5242.5073	4896.2915	5202.1187	149.1207	5461.669	4915.4683	1000.0	1000.0	170000	394.2282	103.39359	509.1385	122.474205	-395.63162	11.895632	1582.1482429504395
35	5186.8267	67.185394	5269.9956	5086.3096	5462.1787	73.27799	5594.948	5320.5264	1000.0	1000.0	175000	400.5015	104.93849	513.8983	120.32746	-402.1594	11.9782095	1628.8385195732117
36	4881.8184	652.3879	5411.491	3628.2852	5110.247	924.9954	5600.0264	2348.3433	1000.0	1000.0	180000	406.37805	107.08553	518.26434	121.12647	-408.13083	12.072128	1675.537799358368
37	5173.315	57.123463	5247.9023	5089.18	5636.09	83.75251	5759.643	5493.2334	1000.0	1000.0	185000	411.98645	109.31037	521.97516	113.06246	-413.75174	12.511557	1722.2765917778015
38	5350.4004	121.79782	5526.904	5198.3857	5523.397	106.38432	5615.111	5264.367	1000.0	1000.0	190000	417.6033	111.61134	528.57336	111.39069	-419.29086	12.310894	1768.888756275177
39	5356.104	99.47545	5481.151	5233.0244	5622.0225	88.37	5751.712	5479.5957	1000.0	1000.0	195000	422.99136	114.12265	535.3247	99.10504	-424.5188	13.1533375	1815.703298330307
40	5504.29	44.496883	5548.562	5433.554	5703.1123	68.84135	5859.273	5612.0684	1000.0	1000.0	200000	429.06085	115.09055	540.89764	103.557205	-430.7459	12.729421	1862.3765366077423
41	5480.9976	119.75876	5693.4604	5364.999	5693.536	700.6084	6133.5537	3623.6616	1000.0	1000.0	205000	435.21298	115.29552	545.4611	46.175182	-437.08994	12.686164	1909.0806365013123
42	5646.4404	138.20496	5843.343	5410.097	5460.7173	244.14014	5656.7476	4774.734	1000.0	1000.0	210000	441.0198	115.52259	553.81525	108.82391	-442.55585	12.525433	1955.935239315033
43	5563.7915	233.08032	5838.0083	5164.4155	5943.4907	128.81224	6099.3564	5663.588	1000.0	1000.0	215000	446.1277	115.70029	558.9193	105.9979	-447.7047	12.889472	2002.680852651596
44	5629.7534	46.37743	5692.3457	5568.0176	5933.722	66.964455	6073.0405	5837.661	1000.0	1000.0	220000	451.64127	115.20442	564.26117	103.59243	-453.0419	12.563509	2049.4185602664948
45	5691.1045	100.51043	5858.872	5591.6973	6030.935	127.34377	6297.46	5897.2	1000.0	1000.0	225000	457.26715	114.10416	567.40405	108.18937	-459.0026	12.696336	2096.0492238998413
46	5689.909	110.35681	5896.8027	5568.125	5986.3975	173.41208	6309.724	5726.7305	1000.0	1000.0	230000	462.66428	113.35879	571.4622	71.37014	-464.44086	12.868967	2142.7736299037933
47	5928.5425	114.837906	6074.363	5755.924	6044.671	95.38291	6263.5957	5909.714	1000.0	1000.0	235000	468.82483	111.30444	583.8702	124.761215	-470.3871	12.800395	2189.39760017395
48	5885.7134	145.93005	6103.219	5736.7925	6176.922	177.03458	6397.119	5730.9805	1000.0	1000.0	240000	474.5987	109.02446	587.80457	126.31914	-476.085	12.7682	2236.054258823395
49	5890.062	89.96956	5991.607	5758.3945	6152.6636	81.13126	6318.1147	6004.2144	1000.0	1000.0	245000	480.53638	105.99305	591.48444	137.91959	-482.1669	12.567478	2282.7765171527863
50	5940.1694	128.9205	6048.3784	5697.656	6343.5894	98.85602	6487.73	6160.667	1000.0	1000.0	250000	485.91397	104.014725	594.55304	143.05588	-487.835	12.574707	2329.565549135208
51	6002.1533	114.33077	6193.0337	5898.37	6309.4062	142.0693	6590.8706	6105.1675	1000.0	1000.0	255000	490.82132	102.51983	599.1715	156.03137	-492.63174	12.300297	2376.3012363910675
52	5949.653	98.82008	6083.053	5812.393	6146.801	142.92178	6380.6973	5837.9995	1000.0	1000.0	260000	496.0231	100.54548	604.0769	162.33864	-497.8307	12.554361	2422.950349330902
53	5789.841	185.2721	5970.9893	5458.9976	6042.8833	149.48555	6239.555	5794.9355	1000.0	1000.0	265000	500.81042	98.691376	605.27893	148.17271	-502.71954	12.620189	2469.738692522049
54	5907.428	202.90822	6174.072	5580.105	6376.46	140.45444	6571.67	6149.2695	1000.0	1000.0	270000	505.30338	96.788506	609.4464	158.75108	-507.1554	12.586139	2516.526930332184
55	6025.0854	149.02573	6278.779	5821.882	6442.6978	109.52531	6661.6885	6280.0293	1000.0	1000.0	275000	509.8164	94.75469	612.3609	160.21408	-511.413	12.341631	2563.5005435943604
56	6114.364	150.71684	6279.6816	5848.732	6491.2754	68.59638	6570.511	6379.73	1000.0	1000.0	280000	514.02655	93.53229	616.4293	141.28813	-515.786	12.5922985	2610.3529567718506
57	6079.7236	138.45407	6344.319	5939.656	6493.1714	126.32626	6624.5063	6241.9	1000.0	1000.0	285000	518.04736	92.12303	617.89484	136.51476	-519.74097	12.5593815	2657.2673106193542
58	6033.23	117.85259	6193.349	5834.928	6306.2207	107.433624	6451.7075	6141.2856	1000.0	1000.0	290000	522.4124	89.94114	622.3404	130.54034	-524.3511	12.355952	2704.068120241165
59	6124.4834	147.17319	6365.5107	5902.528	6614.121	73.22986	6716.4565	6439.7764	1000.0	1000.0	295000	526.0497	89.148155	627.18604	127.496704	-527.566	12.413558	2751.0586442947388
60	6151.46	104.400635	6267.089	5970.2275	6438.88	142.23643	6671.0815	6191.048	1000.0	1000.0	300000	529.7886	88.06179	631.77356	143.57393	-531.4004	12.261638	2797.903769493103
61	6310.9033	118.13152	6409.373	6097.913	6515.329	134.21667	6734.425	6276.044	1000.0	1000.0	305000	533.0542	87.82503	631.8975	153.04857	-534.7236	12.1035	2845.8462924957275
62	6103.469	155.96577	6335.6016	5845.4614	6500.7485	89.37804	6611.126	6321.5864	1000.0	1000.0	310000	535.8695	87.93603	635.3079	156.0505	-537.4773	11.701604	2892.7960760593414
63	5887.1963	455.14304	6195.6187	4984.6343	6563.6494	81.20817	6653.708	6401.494	1000.0	1000.0	315000	538.6926	88.105446	638.07306	165.54128	-540.2112	11.947851	2939.625173807144
64	6215.764	145.67686	6460.674	6057.284	6659.9404	94.74999	6816.2817	6481.2446	1000.0	1000.0	320000	541.07385	89.13608	638.52563	172.44113	-542.7632	12.111783	2986.6599328517914
65	6274.902	141.7237	6513.201	6117.4272	6578.9946	110.980736	6735.4233	6398.527	1000.0	1000.0	325000	542.9256	91.79512	641.9331	173.28139	-544.5892	12.236892	3033.619732618332
66	5995.051	859.6438	6542.656	4284.1787	6630.587	125.13433	6896.423	6438.849	1000.0	1000.0	330000	544.3567	95.38993	642.5868	177.93918	-546.1204	12.184177	3080.516742706299
67	6292.779	216.9921	6538.948	5897.5747	6681.003	108.90629	6931.1787	6551.843	1000.0	1000.0	335000	545.6557	99.08589	644.90045	187.91798	-547.2339	12.797305	3127.4886882305145
68	6353.641	67.62951	6427.3267	6234.6636	6483.4087	129.54118	6708.65	6207.455	1000.0	1000.0	340000	547.1367	102.537796	646.5077	164.75598	-549.0826	12.757953	3174.488943338394
69	6355.389	127.96034	6574.4634	6219.745	6741.7197	94.933334	6885.028	6591.1953	1000.0	1000.0	345000	549.12256	104.65632	648.0356	154.73204	-550.8331	13.368983	3221.4486603736877
