Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpUncertainty	StdEpUncertainty	MaxEpUncertainty	MinEpUncertainty	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-280.17517	64.86017	-198.96957	-375.64066	0.0	0.0	0.0	0.0	-412.25934	101.318634	-275.06702	-582.918	1000.0	1000.0	5000	1.5098995	3.2726972	17.570398	-7.710221	-2.2852292	0.27533358	64.74710726737976
2	-328.296	70.36047	-205.78989	-393.84103	0.0	0.0	0.0	0.0	-96.32238	246.03195	338.445	-526.5935	1000.0	1000.0	10000	13.082673	7.538503	37.96457	-6.5464993	-14.930926	1.0021107	128.70247864723206
3	-60.63386	583.88904	851.8434	-573.3831	1393.8534	243.99332	1740.149	1087.1548	931.3996	412.95804	1421.729	227.10191	1000.0	1000.0	15000	25.506102	10.190548	62.36536	-8.995756	-27.05272	1.7521996	261.66482067108154
4	1096.6305	471.64307	1908.023	445.38745	1128.4886	172.79651	1334.6201	883.82324	855.9298	306.90265	1345.8422	373.53918	1000.0	1000.0	20000	40.071857	17.302542	94.6097	-5.6646266	-41.577324	2.2258716	391.6512553691864
5	1457.8689	813.689	2285.0981	6.3889394	1299.3687	129.78253	1545.157	1177.9279	2492.9517	291.46057	2914.7488	2005.5592	1000.0	1000.0	25000	57.777954	22.481907	122.916214	4.651742	-59.3343	3.53895	516.2943892478943
6	1966.4944	367.94952	2446.3323	1563.2626	1284.0176	58.05978	1342.0852	1185.784	2087.841	1389.0596	3991.0425	-257.83167	1000.0	1000.0	30000	79.18092	27.887129	159.48401	24.774755	-80.849365	5.272026	642.1080183982849
7	265.67804	481.0588	1222.2826	-59.467	1751.9606	127.46048	1834.6837	1498.5986	2985.2598	976.511	3525.475	95.90869	1000.0	1000.0	35000	96.52352	33.685802	184.57362	42.126022	-98.26467	6.749147	768.9373915195465
8	1898.1052	1408.9131	3283.0457	66.83614	1513.9996	279.84448	1946.056	1203.5557	2160.3696	1355.1543	3799.905	-24.77983	1000.0	1000.0	40000	111.60344	43.227493	206.09483	44.577442	-113.365074	7.847489	893.5206670761108
9	2336.761	1223.3763	3579.8303	726.1413	1401.3743	221.59103	1708.8506	1197.3197	3268.4072	1157.4767	4057.5957	284.94138	1000.0	1000.0	45000	128.99283	53.198425	233.59375	47.189213	-130.64555	9.145199	1021.172976732254
10	3047.8472	789.2673	3674.945	1503.1703	1260.2461	136.0363	1521.5996	1145.9144	3843.5872	467.94983	4197.115	2880.82	1000.0	1000.0	50000	150.30707	62.697426	263.1756	50.358482	-152.11375	10.436919	1146.2011930942535
11	2999.89	1371.6848	3828.852	262.14	1289.6614	237.60954	1758.9675	1103.3567	4718.031	83.74279	4902.019	4609.9385	1000.0	1000.0	55000	170.94598	71.072296	288.29654	54.16017	-172.95894	11.735393	1272.14066696167
12	3776.9858	186.37286	4035.6504	3512.149	1171.606	36.63774	1217.2529	1122.6552	4615.588	344.56064	4958.6475	3669.0593	1000.0	1000.0	60000	193.5591	77.70643	308.46408	60.08258	-195.66685	12.060249	1399.3206996917725
13	3302.6204	1361.7874	4086.345	584.01013	1279.3904	235.93163	1747.8485	1124.7426	2370.4197	1280.2173	4627.501	746.7928	1000.0	1000.0	65000	216.07866	81.86789	330.83292	69.16312	-218.03262	12.505199	1526.0184578895569
14	3871.3052	356.66797	4195.172	3177.149	1176.1974	98.75772	1355.5681	1075.7599	4810.6978	98.43436	4991.9253	4657.6553	1000.0	1000.0	70000	234.75922	86.2683	347.25116	79.634315	-236.65155	13.014599	1656.5959565639496
15	4078.321	125.82274	4201.764	3923.4136	1172.1714	55.203117	1227.2549	1104.523	4084.0156	1019.89575	5068.409	2006.2507	1000.0	1000.0	75000	254.2425	89.84426	362.96585	81.13104	-256.41043	13.300361	1785.1486937999725
16	4211.8877	88.5173	4306.5703	4067.794	1135.1812	84.55481	1204.4214	997.4196	4882.1235	84.51312	5012.3306	4715.0713	1000.0	1000.0	80000	273.20547	92.27179	379.53796	82.08058	-275.05484	13.26723	1918.667202949524
17	4222.79	124.31914	4459.5503	4090.2004	1153.0427	55.550667	1215.5293	1071.8983	5136.7466	126.090385	5365.3115	4991.026	1000.0	1000.0	85000	290.9442	93.51502	394.01822	84.00689	-292.80865	12.775787	2052.196447134018
18	4337.883	236.78284	4558.4478	3904.5464	1265.923	18.103256	1300.3151	1247.8688	3401.9683	1732.9255	5234.1777	757.8728	1000.0	1000.0	90000	307.68396	94.07979	408.83124	89.61444	-309.76266	13.100985	2187.6859810352325
19	4201.3154	177.46906	4482.742	4036.8196	1215.0198	53.64485	1277.846	1129.8372	5431.8467	29.833529	5483.5024	5372.0957	1000.0	1000.0	95000	323.04196	94.33433	423.01257	98.46236	-324.90823	13.648753	2321.076469898224
20	4404.1914	103.72103	4566.955	4243.4517	1238.4205	53.286446	1298.6045	1143.8011	5165.3027	31.6543	5204.557	5093.071	1000.0	1000.0	100000	337.1203	94.32393	433.3428	100.97288	-339.0215	13.381237	2450.8123574256897
