Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-288.98016	57.647263	-222.32973	-361.34598	-5.46411	0.70948106	-4.0743284	-6.287765	1000.0	1000.0	5000	2.2678065	3.674732	22.527086	-7.25066	-3.2594151	0.18656148	130.42669200897217
2	-233.76627	38.390186	-197.11887	-305.71613	-89.715164	0.40698877	-89.1701	-90.40792	1000.0	1000.0	10000	21.832438	11.531821	53.610653	-5.8943543	-24.678196	1.0798545	265.4255394935608
3	-151.54697	37.107475	-89.64634	-191.79459	-136.97319	5.181927	-126.578125	-143.50716	1000.0	1000.0	15000	44.243153	13.628454	77.71581	4.543229	-46.81334	1.2425315	451.47260785102844
4	-94.32613	180.69128	228.95044	-327.5638	143.2567	31.949038	222.22104	106.04572	1000.0	1000.0	20000	76.35119	19.644693	129.6792	16.39804	-81.09849	2.3892038	637.792961359024
5	-15.523413	98.73909	167.93137	-106.35993	-173.61905	11.6062355	-145.35112	-185.93468	1000.0	1000.0	25000	132.02814	30.75091	204.58267	29.74626	-140.04723	4.44937	826.8977761268616
6	-123.26754	28.169962	-99.85963	-157.96022	-100.25032	0.6248727	-99.332115	-101.21656	1000.0	1000.0	30000	216.28326	35.675682	300.07318	71.557	-227.5445	7.6944375	1017.4018166065216
7	-101.78359	4.9413657	-98.57496	-111.45629	-107.95715	2.2034502	-104.60231	-111.464485	1000.0	1000.0	35000	323.12555	37.858883	414.47018	178.1492	-337.7411	8.678449	1204.0151212215424
8	-105.30819	5.0075793	-100.00701	-112.37436	-100.87218	1.0024438	-99.434364	-102.346695	1000.0	1000.0	40000	440.84833	32.33331	520.2465	297.75095	-454.5922	10.506964	1390.69291305542
9	-103.04674	2.627068	-99.90265	-107.73081	-99.98971	0.7244242	-98.71364	-100.94928	1000.0	1000.0	45000	515.4299	23.793076	594.2201	408.94562	-526.2269	11.230752	1577.3848779201508
10	-132.80128	54.400097	-100.042755	-240.40924	-100.9612	1.1838573	-98.708824	-102.654816	1000.0	1000.0	50000	550.9962	20.114359	623.20404	436.95328	-559.5021	8.776323	1765.9084832668304
11	-105.714096	4.3888307	-101.18893	-111.30822	-195.53369	1.732112	-192.40047	-198.19438	1000.0	1000.0	55000	628.3073	46.375732	742.4855	417.3362	-645.9585	15.719278	1952.867816209793
