Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpUncertainty	StdEpUncertainty	MaxEpUncertainty	MinEpUncertainty	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-303.70355	64.99813	-236.34395	-416.19446	0.0	0.0	0.0	0.0	-422.63144	2.6056464	-417.26556	-426.0196	1000.0	1000.0	5000	1.7721115	3.229206	17.204199	-5.0737505	-2.7133331	0.22714561	31.909757375717163
2	-241.32658	88.64608	-153.86618	-410.48877	0.0	0.0	0.0	0.0	-449.9017	24.214935	-401.64227	-478.73544	1000.0	1000.0	10000	14.112819	8.024245	41.96246	-2.675952	-16.041441	0.8004149	63.15951204299927
3	-75.70663	27.878424	-20.897512	-93.6974	94.801735	51.412693	177.25835	29.018929	-795.25543	32.43367	-750.78625	-860.7786	1000.0	1000.0	15000	31.886187	10.928501	58.4859	5.7675276	-33.948708	0.7956505	152.1867642402649
4	-58.6756	16.272991	-37.51571	-86.49234	286.7568	23.718006	328.40805	254.6936	-834.3215	60.511745	-690.96765	-921.01965	1000.0	1000.0	20000	52.182377	11.783637	80.5141	18.25367	-54.84115	0.80644494	243.15215730667114
5	-79.438705	10.451484	-65.87113	-94.24367	275.75665	44.997913	315.13318	216.16727	-566.0076	29.121094	-497.4234	-603.5923	1000.0	1000.0	25000	74.50511	11.597109	104.06957	35.7276	-77.55596	0.8912771	333.2504622936249
6	-87.06181	5.764477	-79.998055	-96.61813	251.05637	171.60185	583.023	94.52505	-672.6226	39.163807	-600.6442	-753.4874	1000.0	1000.0	30000	96.76159	10.904311	124.65587	55.962444	-100.13091	0.996657	423.87066435813904
7	-78.232124	6.9255867	-73.6287	-92.02402	466.72403	87.25805	599.4374	367.88666	-276.80878	163.63351	97.607285	-538.2754	1000.0	1000.0	35000	120.47777	10.886179	151.59987	78.361565	-124.39926	1.2175133	514.3232147693634
8	-88.83613	3.6140344	-83.874565	-94.42348	485.67178	127.299324	662.28986	309.0905	147.71925	260.50104	575.43427	-181.04118	1000.0	1000.0	40000	144.16182	11.270269	173.16527	100.86556	-148.05391	1.2408725	613.9078719615936
9	-84.78509	5.314825	-78.41617	-92.166336	616.81866	413.6517	1115.6034	74.75259	-369.37415	72.52478	-272.05048	-498.20743	1000.0	1000.0	45000	165.01271	11.063727	191.45831	117.29326	-169.11273	1.2723364	709.6504497528076
10	-91.355576	5.513772	-81.47601	-96.61493	186.73438	213.50746	612.41327	56.27761	-1092.89	267.08002	-382.75592	-1398.5878	1000.0	1000.0	50000	187.12102	8.56894	210.77249	140.91367	-191.65202	1.2837868	802.6585161685944
