Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-223.57173	43.683315	-148.18243	-283.65677	-25.273808	6.2719164	-15.182183	-35.402084	1000.0	1000.0	5000	2.4748216	3.1690161	23.973227	-4.4075923	-3.4401438	0.16807033	292.39892649650574
2	-257.8045	81.84194	-109.05211	-350.67108	-123.719986	4.1622825	-117.56262	-130.88611	1000.0	1000.0	10000	19.359709	9.982992	59.046143	-1.1539776	-22.243134	1.3863593	582.4959743022919
3	-92.11162	72.26263	3.9482872	-166.55026	-93.983215	4.7536473	-85.93944	-100.82392	1000.0	1000.0	15000	57.642395	19.5503	122.648796	14.666143	-63.070255	3.3943796	979.98175573349
4	24.795807	73.37949	107.04009	-62.656563	-110.90932	3.8123066	-105.985725	-119.089386	1000.0	1000.0	20000	135.16348	35.762302	235.3314	44.871735	-145.90018	6.882144	1372.15544962883
5	-148.68019	44.787766	-122.80939	-238.1086	-102.388336	1.0659342	-100.786285	-104.1156	1000.0	1000.0	25000	247.45238	42.12827	346.03433	120.15782	-260.9007	12.906071	1758.5946633815765
6	-94.385254	11.988758	-78.48001	-109.133446	-100.23804	1.3597596	-98.20452	-102.7733	1000.0	1000.0	30000	358.6071	36.122402	437.9184	224.37355	-372.3633	14.43694	2140.5349037647247
7	-107.24286	5.4402747	-96.72375	-111.50234	-102.01061	0.5865333	-100.93002	-102.99271	1000.0	1000.0	35000	456.03683	31.695585	607.7206	360.85898	-470.17004	14.381464	2526.7369499206543
8	-102.65377	7.0513096	-95.749626	-112.01081	-99.74408	0.6752806	-98.707924	-100.7087	1000.0	1000.0	40000	560.5558	47.67096	781.191	456.34518	-580.2114	20.115509	2905.99529838562
9	-103.48674	6.518774	-98.0456	-113.349556	-100.5291	1.2325565	-97.98543	-102.0526	1000.0	1000.0	45000	725.20325	59.50282	980.75305	577.5934	-751.75653	35.08918	3288.4491589069366
10	-104.32865	6.432114	-97.599045	-113.53457	-101.81185	1.2933434	-99.92091	-103.987946	1000.0	1000.0	50000	945.5831	75.615555	1213.6532	719.40106	-979.268	43.59737	3672.616115093231
11	-105.88881	5.534063	-97.16592	-111.84232	-101.841095	1.0200609	-100.48093	-103.20163	1000.0	1000.0	55000	1211.8656	100.16415	1571.1824	947.469	-1257.4814	59.249607	4052.574001312256
12	-103.22081	5.112653	-97.21252	-110.005684	-99.3377	0.8010021	-98.099464	-100.76326	1000.0	1000.0	60000	1584.6665	123.07033	1984.5659	1212.6774	-1641.3947	86.60383	4436.339008569717
13	-98.294846	4.042287	-92.982925	-105.32097	-101.845184	1.1265962	-100.4639	-103.972984	1000.0	1000.0	65000	2039.1373	157.44533	2520.8486	1546.3497	-2111.1748	123.36515	4817.686328649521
14	-107.63965	5.5315557	-97.53731	-113.15505	-101.79081	1.0757685	-99.9149	-103.86999	1000.0	1000.0	70000	2585.0269	168.46844	3123.815	1984.9841	-2666.6624	150.09155	5198.61766910553
15	-106.94088	4.2038145	-101.97007	-112.10919	-101.37847	0.39755952	-100.877785	-102.03041	1000.0	1000.0	75000	3102.5938	154.65681	3947.749	2495.6243	-3186.379	172.34196	5579.6278529167175
16	-113.21334	1.1108314	-111.795204	-115.10206	-101.51747	0.62461203	-100.6013	-102.7911	1000.0	1000.0	80000	3651.1638	188.39279	4711.4663	3077.1526	-3747.248	215.30585	5961.492694616318
17	-112.36102	1.966319	-109.33352	-114.03884	-101.949684	1.1510284	-100.228165	-104.29483	1000.0	1000.0	85000	4188.328	185.0823	5501.178	3595.8428	-4278.602	242.893	6350.987590312958
18	-112.37262	1.5159346	-110.15044	-114.10095	-101.400406	0.70696944	-100.52762	-103.27823	1000.0	1000.0	90000	4554.1357	193.85968	6265.757	4147.419	-4636.9424	239.56406	6714.771424531937
19	-111.00832	2.32437	-107.41208	-114.45239	-101.79099	0.6471214	-100.91925	-103.028854	1000.0	1000.0	95000	4837.687	274.6873	7326.53	4519.8086	-4925.2427	300.4647	6969.781693458557
20	-112.52828	0.525272	-111.65482	-113.12413	-101.42836	0.74480945	-100.23351	-102.77672	1000.0	1000.0	100000	5272.997	362.81772	8305.068	4816.2095	-5381.2114	409.89474	7222.9851014614105
