Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpUncertainty	StdEpUncertainty	MaxEpUncertainty	MinEpUncertainty	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-235.91043	37.77993	-184.27603	-292.13315	0.0	0.0	0.0	0.0	-687.361	79.8743	-538.0921	-778.48676	1000.0	1000.0	5000	2.356341	3.1008253	19.434147	-7.724425	-3.2278733	0.33350244	32.296602964401245
2	-250.8735	56.889725	-182.29982	-324.7523	0.0	0.0	0.0	0.0	-373.48846	72.728195	-267.19482	-515.73456	1000.0	1000.0	10000	14.080802	7.024601	38.96024	-4.7569914	-15.99365	1.1792201	64.32416534423828
3	-291.68744	272.45898	217.75223	-553.5608	1278.4071	170.77885	1507.1249	1121.7579	129.80945	496.53668	866.43445	-624.1987	1000.0	1000.0	15000	28.079268	6.7162657	58.35434	9.12816	-29.535887	1.9481684	157.13168573379517
4	733.09656	262.9614	1048.785	364.92197	1286.6345	64.27838	1373.9636	1188.9307	1419.5914	501.72192	1828.1211	91.32133	1000.0	1000.0	20000	37.64479	10.820476	81.065765	10.489228	-38.777576	2.377588	248.73474144935608
5	1453.5615	187.57245	1700.6232	1142.0197	1269.5403	25.78568	1306.7676	1243.7145	1369.9672	192.71529	1543.1857	883.17676	1000.0	1000.0	25000	51.276302	16.252068	100.21107	12.471212	-52.60597	2.91463	340.96447014808655
6	1712.0139	248.82002	1929.6184	1287.1644	1262.8695	38.588818	1304.9601	1195.3378	1541.9651	1068.3357	2427.3252	-293.301	1000.0	1000.0	30000	68.845695	20.329033	122.80215	16.78623	-70.27351	3.3983257	435.62180185317993
7	2074.849	154.80733	2355.6208	1911.0988	1280.1812	30.880058	1312.8606	1231.5123	1368.2065	1000.39984	2401.6914	-497.89554	1000.0	1000.0	35000	87.34359	22.95616	143.51958	24.183323	-88.926994	4.0842576	529.5350162982941
8	2307.8643	70.49525	2424.497	2243.4448	1314.4838	22.668568	1349.8027	1289.3955	2770.4893	431.09	3052.4587	1516.3633	1000.0	1000.0	40000	107.23637	25.2912	166.21997	38.25385	-108.97719	4.9178886	621.215582370758
9	2420.7095	77.34259	2562.8674	2339.5981	1339.1078	34.087704	1392.7324	1295.1187	1990.9375	884.4026	3098.8447	262.32513	1000.0	1000.0	45000	128.12396	27.092802	186.54602	51.037094	-129.92012	5.499232	715.9944887161255
10	2097.7466	1033.4027	2753.1743	36.53257	1424.2205	170.94511	1764.622	1321.396	2177.2666	865.9512	2875.673	399.27307	1000.0	1000.0	50000	147.31508	30.143337	212.12291	64.79269	-149.1037	6.141651	810.447772026062
11	2727.307	78.215576	2810.719	2591.7253	1275.0709	30.203138	1302.7952	1218.8259	3040.995	242.86598	3351.0085	2536.7888	1000.0	1000.0	55000	167.24695	32.725883	229.34389	71.87935	-169.2459	6.569797	906.569495677948
12	2816.313	54.86382	2903.7715	2755.7466	1253.8812	25.45772	1295.652	1220.925	3596.6458	90.52467	3709.9988	3405.1091	1000.0	1000.0	60000	186.67305	34.240185	247.12827	81.960106	-188.62794	7.080768	1002.4235019683838
13	2886.5203	208.82822	3145.2693	2524.7747	1268.3092	52.557823	1359.1648	1210.7073	3228.6492	68.0648	3315.9092	3127.6252	1000.0	1000.0	65000	205.03282	35.497467	267.0275	91.73116	-206.9504	7.4611564	1098.4728002548218
