Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	AverageEpUncertainty	StdEpUncertainty	MaxEpUncertainty	MinEpUncertainty	AverageEpUncertaintyClipped	StdEpUncertaintyClipped	MaxEpUncertaintyClipped	MinEpUncertaintyClipped	Time
1	-271.75757	49.365044	-204.19899	-340.80762	-387.36316	58.774723	-285.4647	-495.37256	1000.0	1000.0	5000	2.5874972	3.3015115	21.557562	-4.203987	-3.5972555	0.20077425	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	62.66907215118408
2	-211.6685	61.39091	-124.33945	-310.8734	-550.5492	57.95206	-458.16788	-673.70984	1000.0	1000.0	10000	22.347242	11.092575	59.271923	-1.2093518	-25.267572	1.2150018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	124.78988194465637
3	-358.55115	89.76526	-255.25984	-519.3448	-470.2902	118.154	-228.7586	-620.42065	1000.0	1000.0	15000	49.10468	10.097451	85.06475	24.569765	-51.263912	2.7962859	1964.5398	220.97008	2253.3691	1670.0929	2145.8022	185.9845	2390.127	1913.6069	305.6404118537903
4	28.073502	191.02719	389.8231	-144.02382	256.57852	260.62872	611.19183	-206.81032	1000.0	1000.0	20000	59.43786	13.866211	118.455635	37.142685	-60.602764	2.7079978	1882.778	183.03856	2084.5688	1568.083	2067.1035	146.22473	2240.4539	1828.9698	486.57791209220886
5	1192.3315	445.13922	1791.7147	510.4054	2122.3452	267.1029	2497.7002	1492.7802	1000.0	1000.0	25000	70.24952	20.98816	139.36272	40.225952	-71.612915	3.2781277	1856.9089	96.14799	2024.5398	1740.4674	1992.1335	89.33969	2142.5552	1868.6733	669.9249408245087
6	2343.481	311.1233	2655.4158	1816.6508	2792.5347	569.7981	3290.3972	1415.7554	1000.0	1000.0	30000	90.2804	31.054813	177.11496	44.88714	-91.984924	4.0836267	1695.1168	62.36405	1812.0071	1635.6249	1820.0417	54.236115	1923.368	1767.4093	852.381353855133
7	2835.6924	83.23953	2959.5613	2764.994	2910.6914	1462.6484	3765.4766	-527.4107	1000.0	1000.0	35000	117.01577	41.30733	208.82549	52.07042	-119.09995	4.8644547	1643.2444	57.20435	1720.6024	1542.7968	1792.2742	47.103638	1848.9186	1705.8579	1035.2252402305603
8	2552.206	820.47363	3077.712	919.4452	3375.316	571.945	3803.698	1864.4076	1000.0	1000.0	40000	144.67027	49.728825	242.27664	60.952824	-146.63289	5.966167	1812.2678	148.99327	2081.335	1641.2598	1959.2546	145.26439	2224.667	1796.6749	1218.475646018982
9	1808.2493	1272.1683	3517.4592	-15.577727	3645.543	230.7972	3939.909	3070.9868	1000.0	1000.0	45000	164.68437	60.091625	274.83615	66.24759	-166.60059	7.0176578	2054.6865	323.28854	2562.8635	1637.9752	2178.7473	299.9938	2646.6008	1795.214	1402.4797005653381
10	3612.0957	40.209923	3651.638	3535.46	4412.5703	178.21916	4715.141	4105.5156	1000.0	1000.0	50000	189.23814	70.44187	306.95676	70.16251	-191.15955	8.336415	1609.5771	38.911694	1658.8802	1562.3126	1761.8176	37.737877	1814.9089	1721.154	1585.3906614780426
11	3765.4973	232.98433	4091.498	3450.4944	3851.8782	458.50323	4495.2715	2990.6208	1000.0	1000.0	55000	217.66333	78.27911	342.5792	74.68407	-220.07436	9.58177	1607.7283	40.75479	1657.3867	1567.3358	1749.1998	35.289673	1798.0248	1714.574	1768.6358423233032
12	3480.5261	1045.5858	4218.274	1415.7731	4278.9756	658.32556	4874.2485	2663.7866	1000.0	1000.0	60000	247.27757	81.9701	371.69406	83.88934	-249.6398	10.434734	1691.9072	243.29955	2161.6301	1451.9635	1836.4846	226.10263	2275.919	1623.9086	1951.7986550331116
13	4191.3193	127.68846	4407.8447	4058.1318	4750.296	137.63635	4960.022	4523.35	1000.0	1000.0	65000	275.35593	84.579895	398.42703	103.844765	-277.87143	11.298109	1614.408	34.864452	1658.142	1564.6708	1763.0023	32.4047	1810.2742	1722.3486	2135.6079366207123
14	4306.406	98.99218	4460.4946	4181.555	4476.2188	350.04614	4900.6367	3601.7417	1000.0	1000.0	70000	302.85654	89.13623	426.53195	110.090126	-305.30145	11.747555	1562.1561	38.288902	1609.1659	1493.8123	1713.7197	33.602802	1750.5596	1651.2961	2319.3374214172363
15	3860.8008	404.0534	4548.471	3463.414	5254.9756	434.24896	5652.9546	4123.8594	1000.0	1000.0	75000	328.21457	93.348854	458.51825	120.450165	-330.8185	12.783719	1657.35	75.34236	1768.6427	1562.842	1805.1038	69.66485	1911.1136	1711.9763	2502.9462559223175
16	4182.2925	630.44214	4829.6265	3117.6301	5486.261	236.32874	5713.4863	4928.4355	1000.0	1000.0	80000	352.78732	98.0371	488.5184	127.566895	-355.331	14.194316	1575.549	123.1425	1799.9008	1449.5549	1726.22	112.341415	1933.3032	1611.6333	2687.1565132141113
17	4771.0347	293.23752	5013.9155	4207.584	6017.926	156.24988	6277.6455	5747.9297	1000.0	1000.0	85000	377.1012	101.98965	522.2958	132.94424	-379.9032	15.866823	1449.4241	36.173946	1520.9404	1422.6077	1618.1119	33.183575	1684.1243	1599.0178	2871.9615511894226
