Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	AverageEpUncertainty	StdEpUncertainty	MaxEpUncertainty	MinEpUncertainty	AverageEpUncertaintyClipped	StdEpUncertaintyClipped	MaxEpUncertaintyClipped	MinEpUncertaintyClipped	Time
1	-345.65695	69.00888	-236.36542	-444.82724	-459.20102	3.8460164	-451.8317	-463.47388	1000.0	1000.0	5000	2.9494848	4.4216022	25.72476	-5.9517546	-4.155797	0.23547406	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	62.23019576072693
2	-269.40695	53.961933	-185.80925	-340.58334	-309.2439	234.90642	133.24028	-618.73535	1000.0	1000.0	10000	21.45646	12.510662	64.15796	-5.901134	-24.359678	1.6528754	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	124.20272898674011
3	354.87164	320.49146	877.5824	-44.61887	710.40247	481.78452	1336.7457	-152.06859	1000.0	1000.0	15000	52.574837	17.714428	101.61313	3.8976002	-54.92584	3.0916717	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	193.56275868415833
4	1075.1282	218.34665	1445.0715	790.6783	407.13287	656.7764	1846.7662	-455.60736	1000.0	1000.0	20000	72.42312	22.995817	124.29096	17.025118	-74.02864	2.9284263	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	262.44519686698914
5	1706.4915	498.78598	2140.5652	731.1754	2020.9412	792.52637	2687.9607	-53.07347	1000.0	1000.0	25000	91.47467	27.98659	150.65549	20.162828	-93.017624	3.1503844	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	331.29758167266846
6	2272.3296	109.892105	2437.7139	2135.4487	2373.7942	894.37787	3145.6296	679.36505	1000.0	1000.0	30000	114.310776	33.570766	181.4923	24.47779	-115.96168	3.9923882	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	400.0845353603363
7	2322.3335	605.1772	2823.472	1142.4716	564.0344	781.12714	2350.3025	-421.46487	1000.0	1000.0	35000	137.4154	40.72374	218.46214	27.50734	-139.22238	5.100678	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	468.5654809474945
8	2646.1562	301.59955	3046.0347	2262.0703	2719.0308	1410.484	3953.2002	366.78525	1000.0	1000.0	40000	163.81778	47.36578	250.03812	29.93007	-165.88965	6.692241	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	537.4883162975311
9	3088.0215	267.74652	3477.283	2712.1453	3760.3462	218.41771	4066.8896	3212.796	1000.0	1000.0	45000	192.43997	52.65785	280.8316	35.284824	-194.68431	7.7508407	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	606.2593946456909
10	3441.6316	155.31575	3637.9585	3188.7673	3845.5605	736.64606	4475.599	2135.1309	1000.0	1000.0	50000	221.09442	58.049538	318.73364	38.79076	-223.41705	8.497648	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	674.9549298286438
11	3169.5374	448.78308	3503.9404	2309.7678	4321.1006	140.35146	4491.8105	4036.069	1000.0	1000.0	55000	248.26463	64.36729	345.23468	38.36184	-250.6366	9.76467	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	743.826366186142
12	3658.5574	129.37245	3908.0198	3547.1902	3248.978	1490.423	4481.054	-87.31686	1000.0	1000.0	60000	275.25958	68.77142	380.31445	37.409344	-277.62396	9.803559	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	813.2941286563873
13	2374.183	1467.0211	4102.178	71.979065	4270.6274	1229.5211	5034.7954	990.73267	1000.0	1000.0	65000	295.98502	79.86091	402.43954	29.739576	-298.499	11.14181	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	882.3150906562805
14	3839.1008	165.86163	4054.3699	3622.2139	2653.2769	1251.6667	4526.43	591.9868	1000.0	1000.0	70000	318.39252	87.78629	431.93317	19.124224	-320.89697	12.323663	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	950.9932277202606
15	3898.5273	49.919537	3996.0518	3862.0886	3256.5269	1339.2931	4386.362	217.22954	1000.0	1000.0	75000	342.40182	91.99702	462.51904	35.84782	-344.91943	13.054301	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1020.4475700855255
16	3175.568	1182.6344	4199.2456	973.6379	3654.3547	1963.3085	5320.055	109.76906	1000.0	1000.0	80000	362.06857	99.60883	475.4184	39.909267	-364.74265	14.132262	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1089.6699454784393
17	4365.8574	127.291695	4547.2476	4207.127	3230.6138	1685.2255	5425.4463	199.859	1000.0	1000.0	85000	383.78595	102.625015	503.32523	37.05912	-386.365	14.215037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1159.3297147750854
18	4284.413	127.96877	4493.65	4146.8794	4295.656	1753.9958	5787.4478	801.1241	1000.0	1000.0	90000	404.9501	103.84097	525.50116	38.393883	-407.5724	14.54675	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1228.4073271751404
19	3788.382	1476.8846	4718.7705	843.2757	5015.481	1402.429	6079.82	1534.4012	1000.0	1000.0	95000	423.42612	107.34416	541.2345	-3.104877	-426.04636	15.293778	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1297.3664209842682
20	4170.1904	694.51984	4741.1626	2841.7246	4630.683	1637.3574	5773.6064	96.525635	1000.0	1000.0	100000	439.00266	113.5998	559.38196	18.381332	-441.6206	15.969803	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1366.9032924175262
21	4204.806	190.37474	4442.517	3917.114	5245.378	747.4141	5912.4927	3248.7239	1000.0	1000.0	105000	457.54172	113.927505	578.71747	21.684444	-460.4351	16.887648	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1436.2145903110504
22	4151.7617	843.09656	4688.5103	2473.808	4880.966	1404.6311	6044.929	1670.9408	1000.0	1000.0	110000	473.92862	115.450294	592.73444	45.48717	-476.99854	18.337013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1505.8148016929626
