Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	AverageEpVarUncertainty	StdEpVarUncertainty	MaxEpVarUncertainty	MinEpVarUncertainty	AverageEpVarUncertaintyClipped	StdEpVarUncertaintyClipped	MaxEpVarUncertaintyClipped	MinEpVarUncertaintyClipped	AverageEpStdUncertainty	StdEpStdUncertainty	MaxEpStdUncertainty	MinEpStdUncertainty	AverageEpStdUncertaintyClipped	StdEpStdUncertaintyClipped	MaxEpStdUncertaintyClipped	MinEpStdUncertaintyClipped	Time
1	-285.91367	62.696346	-228.37468	-397.84976	-512.6204	7.702521	-499.92197	-518.96063	1000.0	1000.0	5000	1.2847192	3.4527094	21.33537	-5.988327	-2.017229	0.13589765	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75.28044009208679
2	-348.6831	70.1759	-225.27097	-443.51572	325.85336	30.990398	386.66443	265.65262	1000.0	1000.0	10000	14.92481	8.502143	46.482956	-4.4367766	-17.201218	0.6342246	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	150.47910356521606
3	-246.73161	236.01018	208.45322	-449.8547	-649.81885	75.04536	-540.21387	-810.9428	1000.0	1000.0	15000	37.96645	9.100386	73.31921	12.301033	-40.110218	1.5983268	1237.8744	437.5479	1833.2662	611.0944	1542.9166	355.60068	2024.4487	1019.55725	1873.6855	577.0587	2667.8962	1112.2338	2136.0332	507.53152	2829.2173	1434.4708	385.6056098937988
4	-290.0013	314.64023	78.2976	-787.8448	-6.8180037	395.03763	672.8423	-643.24585	1000.0	1000.0	20000	52.227146	12.608234	101.767525	12.798845	-54.08253	2.115866	1506.8043	335.40222	1992.9506	1056.8563	1751.9066	298.54425	2175.488	1331.2405	2248.231	362.04822	2794.4268	1837.5956	2456.8425	336.14404	2958.2476	2053.4421	620.4317963123322
5	-90.46578	143.62639	193.27722	-189.9135	30.47881	258.22516	439.81592	-427.35614	1000.0	1000.0	25000	62.232803	16.917595	112.35674	29.415548	-63.875923	2.1235814	2047.0953	169.36588	2265.7944	1835.9296	2216.965	152.7704	2417.574	2035.803	2878.7056	180.9736	3091.2776	2627.8804	3025.8555	163.94968	3225.2542	2806.4006	856.2650225162506
6	781.95886	766.9833	1613.9497	-335.72485	1393.4229	811.0818	2011.32	-168.50566	1000.0	1000.0	30000	71.21141	21.297438	132.04999	35.675854	-72.59908	2.2594266	1833.7607	179.50581	2165.244	1652.6224	2019.5051	163.10211	2328.8977	1877.5845	2688.616	190.23987	2987.8538	2418.1975	2833.0103	172.68896	3124.1653	2610.586	1092.5985605716705
7	1989.3949	288.653	2403.9302	1616.6062	2832.8257	325.433	3284.0894	1998.8226	1000.0	1000.0	35000	85.51519	27.783817	158.6857	39.05963	-87.117615	2.7222493	1808.2924	67.28571	1938.2101	1762.4847	1963.9313	58.804363	2078.361	1921.5117	2782.3093	77.958595	2928.306	2720.5867	2883.4917	70.58036	3016.621	2830.9446	1327.49862074852
8	2183.0679	960.7422	3139.851	335.90424	2119.9465	1264.4856	3652.1348	316.96756	1000.0	1000.0	40000	105.36478	36.340378	198.30244	44.177982	-107.29595	3.8788157	1809.8748	208.83922	2209.095	1610.579	1958.8074	196.3258	2337.9307	1777.8987	2800.5156	185.61728	3135.2827	2602.032	2895.4202	182.04234	3231.002	2704.8938	1555.1175224781036
9	2690.5322	350.18948	3163.0269	2298.2695	3684.9575	81.04437	3821.4954	3587.2112	1000.0	1000.0	45000	126.635544	48.294857	247.72876	48.43213	-128.5629	6.0023646	1686.679	94.82949	1839.6226	1561.7351	1856.9456	81.76707	1993.4607	1758.0833	2649.2866	112.6683	2808.84	2478.3364	2756.5913	100.80945	2902.7332	2606.5376	1784.152173280716
10	3435.1953	163.92029	3716.0842	3205.3171	4562.667	67.1186	4678.1426	4455.152	1000.0	1000.0	50000	153.90756	60.844254	283.03494	49.44788	-156.38812	7.989144	1484.1125	77.692184	1636.4546	1426.8589	1690.025	66.860886	1822.6217	1646.4336	2392.8157	95.839615	2565.4553	2305.4128	2522.5728	85.55441	2682.3691	2450.2815	2018.5874588489532
11	3975.4583	244.85489	4361.3315	3680.1768	5121.231	197.79875	5351.8804	4723.5435	1000.0	1000.0	55000	185.82423	72.0252	319.79874	50.265327	-188.19167	8.748021	1404.1058	54.787388	1459.0975	1309.6306	1614.0342	47.84746	1666.2087	1533.1565	2323.9036	62.717255	2394.5605	2213.923	2455.1938	56.63573	2517.592	2355.0579	2254.204024553299
12	4374.198	140.88924	4568.401	4168.865	5645.4414	106.34888	5785.778	5440.6436	1000.0	1000.0	60000	218.77971	83.76234	360.03214	54.019043	-221.26343	9.309786	1389.131	26.881968	1420.0697	1352.0419	1602.5354	18.59438	1629.1008	1575.6113	2301.2563	51.644135	2374.5483	2239.2026	2439.0537	38.734215	2490.87	2389.7832	2488.9762659072876
13	3422.8315	1625.1204	4444.123	182.30972	5591.6846	219.57767	5750.191	4995.424	1000.0	1000.0	65000	247.47072	96.570786	394.5312	62.520634	-250.05106	10.461137	1659.1656	483.8418	2613.532	1274.9331	1839.9805	437.88922	2705.437	1503.5122	2598.1423	485.63635	3547.7808	2171.5303	2710.1694	459.7194	3611.826	2317.78	2726.3120822906494
14	4547.2476	81.77975	4643.7144	4429.0693	5724.88	121.34791	5857.744	5437.9854	1000.0	1000.0	70000	279.5248	107.120445	431.6458	60.643784	-282.23636	11.408814	1337.079	37.137486	1404.265	1305.3206	1546.2185	32.038975	1598.4163	1516.0594	2278.3367	51.14178	2377.2544	2232.891	2401.984	43.14373	2484.69	2363.5898	2960.9037160873413
15	4619.8096	187.01407	4907.4233	4444.254	5688.051	102.909515	5826.5923	5563.9673	1000.0	1000.0	75000	311.8061	113.80601	459.7511	68.34186	-314.7573	12.389553	1368.76	71.10262	1490.3501	1269.0085	1570.572	63.236156	1682.0452	1485.7902	2320.3423	79.863594	2445.53	2200.141	2442.0093	76.43835	2565.048	2328.889	3195.9609286785126
16	4644.1724	109.815384	4849.924	4525.419	5931.8584	45.819565	5994.192	5856.704	1000.0	1000.0	80000	342.64224	117.66219	490.49152	84.8621	-345.63324	12.798884	1345.9812	44.393764	1397.9152	1290.968	1543.3978	34.465622	1586.4883	1496.3176	2317.8958	68.56223	2413.8591	2252.1108	2429.6204	57.68962	2504.3235	2368.0752	3432.8396878242493
17	4770.2275	132.36035	4889.965	4565.9688	5374.676	1232.8551	6026.3813	1695.8575	1000.0	1000.0	85000	372.046	118.990685	515.80334	96.9518	-374.8888	12.623877	1359.6273	59.876774	1462.5764	1275.1049	1555.114	45.32928	1634.9095	1494.4747	2336.6858	92.60474	2490.5266	2202.5256	2445.917	77.32705	2574.4197	2332.9482	3666.6978826522827
18	4106.2017	1280.2283	4885.674	1555.8251	6324.3936	89.24475	6487.33	6150.858	1000.0	1000.0	90000	397.79626	119.97997	535.62384	116.314735	-400.96426	12.289287	1483.5974	231.83066	1928.1588	1264.5609	1659.2268	208.31044	2064.5183	1479.916	2482.4448	238.67027	2912.8647	2203.7747	2579.9878	226.91042	2999.5127	2330.534	3902.6535079479218
19	4993.077	135.77643	5207.046	4864.9556	5337.47	1352.3944	6498.1216	2248.0452	1000.0	1000.0	95000	419.54468	124.06137	553.0049	123.471794	-422.2254	12.335077	1401.2343	31.450565	1451.3405	1366.6094	1584.2527	28.671268	1629.0281	1549.7721	2403.8403	42.853325	2456.4795	2354.4722	2503.609	35.73918	2552.4817	2460.487	4140.8202176094055
20	4946.8057	55.57881	5005.151	4846.026	5930.7607	959.21375	6533.803	3132.329	1000.0	1000.0	100000	439.97552	127.98361	569.9641	125.85655	-442.6165	12.695596	1393.533	45.574024	1457.5936	1333.0039	1582.3906	38.022026	1632.4481	1532.4335	2381.4114	57.812454	2470.309	2302.9417	2486.4653	52.41295	2566.0037	2417.692	4373.307301521301
21	4993.953	112.93531	5198.8433	4885.959	5469.258	487.77365	5906.018	4124.591	1000.0	1000.0	105000	459.44098	131.02539	593.6017	131.46231	-462.3032	13.19987	1459.0394	68.41682	1529.821	1348.5085	1632.1461	61.456135	1692.3455	1537.2557	2475.9114	75.93168	2563.0854	2346.5515	2572.086	71.02727	2648.7383	2450.1218	4603.944027900696
