Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	AverageEpVarUncertainty	StdEpVarUncertainty	MaxEpVarUncertainty	MinEpVarUncertainty	AverageEpVarUncertaintyClipped	StdEpVarUncertaintyClipped	MaxEpVarUncertaintyClipped	MinEpVarUncertaintyClipped	AverageEpStdUncertainty	StdEpStdUncertainty	MaxEpStdUncertainty	MinEpStdUncertainty	AverageEpStdUncertaintyClipped	StdEpStdUncertaintyClipped	MaxEpStdUncertaintyClipped	MinEpStdUncertaintyClipped	Time
1	-296.3972	47.872173	-234.3881	-366.45874	-498.49268	55.87823	-395.26965	-619.40814	1000.0	1000.0	5000	2.344955	3.027987	19.599546	-4.6487637	-3.3611062	0.17867309	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	64.90227627754211
2	-219.26038	38.784214	-152.74342	-257.38214	-531.3118	77.78112	-433.20245	-716.023	1000.0	1000.0	10000	18.838142	9.45627	55.560055	-2.0312877	-21.476297	0.89988047	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	128.37238383293152
3	-275.549	158.31331	-26.679499	-471.81726	-323.812	80.96012	-170.87665	-433.38428	1000.0	1000.0	15000	41.18996	15.320755	104.76563	15.318012	-43.19777	2.6291766	1909.9597	229.16243	2130.6196	1553.7681	2056.4563	209.65454	2260.5825	1725.4462	2847.567	228.9718	3056.1433	2506.569	2957.0984	217.95384	3157.7776	2626.9058	493.61695075035095
4	-173.93484	198.46335	29.75875	-472.39597	62.598045	80.575935	175.50232	-56.312008	1000.0	1000.0	20000	55.78382	22.584894	146.42482	22.7443	-57.6034	2.9664464	1730.7719	266.0556	2250.125	1522.7977	1911.845	229.03595	2357.793	1753.477	2601.9624	318.44116	3213.7183	2288.6638	2746.1313	283.10422	3292.333	2480.391	865.2070047855377
5	319.58505	374.1419	1060.381	80.159706	514.4599	537.1909	1199.2728	-272.6005	1000.0	1000.0	25000	64.19972	25.761919	133.29794	33.020626	-65.529625	2.3377922	1838.8776	204.90259	2059.8582	1474.9198	1993.3555	171.18347	2173.9292	1693.0979	2767.4421	256.07642	3059.9497	2306.305	2880.5188	228.66486	3135.543	2469.9749	1248.4259767532349
6	767.1378	575.94745	1530.0929	-65.43321	-125.67287	58.630363	-18.264704	-236.65338	1000.0	1000.0	30000	72.81579	32.168453	152.46811	35.31773	-74.00174	3.0278184	1688.541	326.87988	2334.3508	1432.5431	1869.3066	285.07275	2433.1584	1648.7787	2591.8672	368.1014	3315.8062	2292.3296	2719.096	337.07053	3382.786	2447.653	1835.9274282455444
7	1257.3049	723.7373	2156.3765	181.98149	2030.5813	632.39386	2918.19	400.2775	1000.0	1000.0	35000	86.113	39.547474	182.84209	35.666183	-87.38796	3.5097742	1719.1677	281.16217	2136.2969	1368.532	1857.7715	248.11368	2221.7556	1550.5157	2758.5232	311.40646	3230.42	2363.6006	2833.7947	292.5568	3270.9973	2457.8882	2422.8293240070343
8	2584.7822	304.62003	2963.093	2190.6855	2821.1682	970.5405	3422.377	-69.03388	1000.0	1000.0	40000	102.63994	50.449066	221.65947	37.70836	-104.070915	5.020623	1427.1365	133.85928	1657.6539	1280.5425	1606.1409	120.30808	1814.6139	1473.3246	2421.9954	140.61043	2659.7927	2275.7769	2519.7524	134.8843	2750.2422	2373.5002	2994.58544754982
9	3010.3018	366.03854	3216.76	2279.7478	3363.2566	729.6878	3733.495	1193.7737	1000.0	1000.0	45000	125.24553	62.629665	248.16287	39.328835	-126.94224	6.2657847	1449.7471	133.8873	1695.3687	1324.9355	1610.0547	111.08078	1816.8019	1512.5123	2501.09	172.50443	2804.233	2316.4492	2578.7231	154.94237	2855.7354	2416.193	3579.9898335933685
10	2759.4539	1168.8743	3420.5295	424.62067	3548.459	578.7604	4006.185	1873.7614	1000.0	1000.0	50000	148.88588	73.98573	288.37616	43.368584	-150.73418	6.7592006	1597.0735	450.73	2497.5012	1337.7556	1739.7639	403.6407	2546.458	1516.0901	2665.0242	476.9289	3614.7195	2362.4653	2732.3494	452.4431	3634.5413	2456.0076	4166.283613681793
11	3397.8315	171.0067	3649.534	3191.8535	3656.9336	1103.6691	4217.9966	364.58997	1000.0	1000.0	55000	172.5197	84.65123	315.49478	45.506916	-174.41255	7.4852533	1463.4117	49.05608	1558.1272	1418.2089	1602.3522	42.197796	1681.8945	1556.0447	2576.5608	62.546677	2698.4211	2528.4521	2635.7292	57.15582	2747.067	2592.3574	4749.6427545547485
12	3541.1812	163.6726	3785.291	3340.5732	4390.4395	108.57834	4533.7744	4253.1733	1000.0	1000.0	60000	197.72835	93.526596	342.4946	45.474407	-199.38872	8.1036	1510.7747	75.01134	1613.9535	1400.1053	1637.5712	64.645424	1726.3887	1538.8815	2648.7712	89.165985	2772.1528	2526.6555	2698.8977	82.39711	2813.047	2584.1921	5334.700704574585
13	3865.636	151.02533	4082.131	3712.046	4984.2554	111.670364	5143.98	4760.623	1000.0	1000.0	65000	223.439	100.7157	368.17587	53.847054	-225.5506	8.624755	1426.877	60.1916	1512.7189	1334.0237	1562.2555	48.620777	1632.9777	1486.1014	2556.506	79.80707	2663.3645	2437.155	2612.1206	73.67513	2715.689	2502.4126	5908.396928787231
14	4141.015	162.41798	4374.9478	3877.7014	5113.825	80.08299	5252.7407	4972.666	1000.0	1000.0	70000	249.28912	106.57391	390.68915	59.687458	-251.5044	9.4567	1381.1493	40.842037	1418.3613	1303.9674	1510.8855	35.8555	1540.299	1441.5483	2535.0012	48.465916	2586.2168	2451.9187	2583.4927	46.065823	2629.3928	2503.4583	6479.163206577301
15	4356.16	196.66736	4674.774	4178.9756	5602.556	101.849304	5756.876	5393.978	1000.0	1000.0	75000	275.7586	111.52508	416.62497	68.5564	-278.00385	10.466665	1339.8406	63.233635	1394.65	1244.1158	1473.564	51.680542	1521.4834	1397.7437	2491.616	81.95246	2571.29	2364.7788	2540.189	76.58583	2606.441	2420.5217	7056.859833717346
16	4459.1743	203.57634	4735.295	4211.306	4797.9985	331.66797	5166.883	3972.7708	1000.0	1000.0	80000	302.31873	115.19617	446.6634	75.32431	-304.4916	11.603207	1239.5668	40.554268	1282.0356	1176.8475	1390.2783	30.736343	1433.5387	1346.8867	2365.6348	66.42093	2458.4531	2258.3472	2423.31	56.25285	2497.9136	2332.6174	7639.890125989914
