Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	AverageEpVarUncertainty	StdEpVarUncertainty	MaxEpVarUncertainty	MinEpVarUncertainty	AverageEpVarUncertaintyClipped	StdEpVarUncertaintyClipped	MaxEpVarUncertaintyClipped	MinEpVarUncertaintyClipped	AverageEpStdUncertainty	StdEpStdUncertainty	MaxEpStdUncertainty	MinEpStdUncertainty	AverageEpStdUncertaintyClipped	StdEpStdUncertaintyClipped	MaxEpStdUncertaintyClipped	MinEpStdUncertaintyClipped	Time
1	-270.7707	63.3842	-168.56932	-363.94775	-508.73715	53.15596	-423.3394	-615.92535	1000.0	1000.0	5000	2.139728	2.9560983	19.704523	-4.8136497	-3.0656018	0.16591951	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.58979916572571
2	-249.89803	76.0724	-154.80324	-379.3661	-388.6485	146.11295	-181.65065	-640.5951	1000.0	1000.0	10000	23.450891	10.910291	60.03845	-2.403216	-26.79245	1.6514766	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	127.15303993225098
3	-330.16867	166.51608	-24.184317	-486.94653	-38.684364	78.24018	70.98374	-161.64401	1000.0	1000.0	15000	53.60856	9.94482	99.672745	20.608826	-56.157875	3.5912828	221.32524	30.40951	258.80484	165.62521	277.87973	26.971397	310.21634	228.00287	305.04202	32.98919	348.6339	247.06943	357.60443	29.789242	396.2335	304.36514	252.9599084854126
4	217.00818	273.3367	730.4027	-51.197086	-138.24817	203.86717	206.5638	-595.69666	1000.0	1000.0	20000	72.10273	12.472089	117.38048	38.492336	-73.97392	3.677689	303.32837	16.06041	328.56113	279.90054	347.14902	14.306959	369.8514	327.51498	406.00027	17.594807	431.76285	376.63113	445.48145	15.908917	469.72348	420.13177	378.7464265823364
5	137.93283	527.451	1112.141	-372.39404	902.17395	1044.1616	1997.5077	-539.3286	1000.0	1000.0	25000	81.57454	14.620915	134.6436	50.76154	-82.98097	3.4773083	340.14517	45.067326	426.65665	296.66223	379.272	40.247208	456.58618	339.9197	447.36078	47.05573	537.2784	404.24274	482.18475	43.089752	564.5251	441.40207	505.6012337207794
6	1813.8918	116.16551	1988.2052	1640.1395	2271.7964	590.03845	2742.863	558.9974	1000.0	1000.0	30000	93.52581	22.086447	159.70825	53.667786	-95.04682	3.6995234	243.49117	16.211607	272.78754	226.30635	292.28632	13.914823	318.00735	278.0599	348.78378	19.3867	381.0947	326.54428	390.0923	17.091766	419.48233	370.8894	632.0164549350739
7	1959.7615	641.6507	2451.8503	697.6374	889.31525	732.19543	2461.5356	-159.45558	1000.0	1000.0	35000	109.01865	30.88075	192.58823	53.145947	-110.60284	4.3790145	264.04825	23.926775	302.27994	228.1549	308.0612	20.493906	340.91052	277.39133	379.57715	28.2883	424.04984	336.59064	415.7683	25.31914	456.035	377.71817	758.3343620300293
8	2565.0884	134.4545	2760.414	2382.6084	3313.3306	408.55017	3696.7322	2197.1475	1000.0	1000.0	40000	128.17241	40.035164	217.9682	53.278847	-129.87508	5.053975	223.53609	21.787594	255.11499	196.02338	272.85074	19.344868	300.53812	248.83365	333.3648	23.525135	368.2154	302.5935	374.21454	21.8077	406.42334	345.78555	885.2201752662659
9	2388.2039	580.9346	3046.7854	1541.5507	3905.8774	63.57904	3997.0037	3811.2063	1000.0	1000.0	45000	148.79262	48.52387	244.37045	53.81598	-150.62648	5.7665033	237.09009	40.75952	299.60846	178.17418	282.92734	35.27888	337.01364	231.98642	354.40118	47.0417	426.04047	286.61453	391.0961	42.046574	455.6197	330.35422	1011.9153926372528
10	3237.7234	167.805	3411.6995	2999.9775	3931.6082	126.90259	4133.145	3709.25	1000.0	1000.0	50000	170.01845	58.103054	276.25632	57.686184	-171.88068	6.7340508	176.59465	14.794227	205.39383	163.79945	229.86703	12.173947	253.61407	219.41672	285.66266	19.67897	323.87976	268.74295	329.1513	16.782362	361.7438	314.45654	1138.915278673172
