Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-309.33847	50.085064	-261.35904	-384.51755	-748.51953	30.60629	-709.42523	-821.8207	1000.0	1000.0	5000	10.883063	8.8803215	37.47881	-3.3938885	-11.314573	1.0769902	19.54842472076416
2	-321.25427	100.10524	-194.85059	-437.35114	-723.2181	156.12999	-511.37085	-1007.4718	1000.0	1000.0	10000	96.065674	55.26358	230.39906	15.781182	-94.76449	7.360167	39.10187911987305
3	-683.8983	314.65887	-265.25583	-1227.6189	-630.2688	86.21256	-499.66162	-784.2125	1000.0	1000.0	15000	415.08768	141.8281	724.2248	-19.7405	-397.65	100.25724	60.83810091018677
4	-606.1548	161.00905	-396.0785	-810.0259	-603.35266	2.2835622	-596.7289	-605.04175	1000.0	1000.0	20000	1233.5306	373.51266	2099.925	633.9988	-1172.6421	565.6295	82.09638476371765
5	-557.30774	3.2814622	-550.7481	-559.0459	-603.5327	1.047889	-602.3155	-606.1805	1000.0	1000.0	25000	3579.7034	1102.0657	6126.8813	1886.7168	-3404.036	4571.558	103.37607645988464
6	-560.4592	1.36568	-558.4398	-562.1216	-604.32806	1.2113042	-602.6921	-606.7374	1000.0	1000.0	30000	10567.409	3300.545	18849.223	5481.759	-10051.323	42241.406	124.55313730239868
7	-558.60284	0.76252943	-557.6121	-559.6673	-604.39764	1.546273	-602.09735	-607.5428	1000.0	1000.0	35000	32007.69	10481.682	64079.938	15397.9375	-30552.537	884441.2	146.20381593704224
8	-559.68896	1.0920317	-558.6897	-561.7184	-604.04016	0.82491356	-603.1234	-605.82	1000.0	1000.0	40000	104520.75	41687.46	263454.53	7823.046	-104685.74	229027330.0	166.88564682006836
9	-560.1152	1.1245358	-558.37494	-561.325	-603.78455	0.9442181	-602.28394	-605.89746	1000.0	1000.0	45000	328334.28	142653.31	800454.4	1211.1213	-351365.3	8645066000.0	188.2152750492096
10	-560.04645	0.9271318	-558.63934	-561.3278	-603.418	1.1355543	-601.97205	-605.4449	1000.0	1000.0	50000	680972.7	274154.06	1460099.6	35.117794	-735682.9	47345020000.0	209.80646443367004
11	-560.025	0.5767656	-559.1627	-560.8891	-603.9736	1.5355737	-601.5743	-607.6621	1000.0	1000.0	55000	1116465.6	434226.84	2240556.0	39.598133	-1199019.0	131180070000.0	230.293443441391
12	-560.15546	1.3936188	-557.99097	-562.0098	-603.45807	0.8952896	-602.33105	-605.25415	1000.0	1000.0	60000	1641086.9	615055.06	3162692.2	45.089554	-1745109.6	273479730000.0	250.9729220867157
13	-559.1976	1.2014598	-557.6466	-560.75256	-603.5672	0.98529524	-602.04236	-605.89386	1000.0	1000.0	65000	2254990.2	814230.4	4189712.2	50.38321	-2375902.5	488003730000.0	272.76814007759094
14	-560.05023	1.4957653	-558.2473	-562.31287	-603.5382	0.66059047	-602.6456	-604.93933	1000.0	1000.0	70000	2965441.0	1023839.8	5341285.5	55.506824	-3094180.2	788185550000.0	294.3690447807312
15	-558.78015	1.1366711	-557.2248	-560.1074	-604.012	1.3470972	-602.544	-607.21936	1000.0	1000.0	75000	3763457.5	1250606.6	6655456.5	60.705597	-3894012.8	1187085800000.0	315.88488030433655
16	-560.0878	0.9623777	-558.29297	-561.1613	-603.8142	0.9238652	-602.7376	-605.9747	1000.0	1000.0	80000	4654542.5	1486887.6	8251267.5	66.243706	-4778667.0	1695482900000.0	336.90354180336
17	-559.37354	0.8547446	-558.2975	-560.5416	-603.7534	0.8661968	-602.5995	-605.2906	1000.0	1000.0	85000	5639927.5	1728082.0	9595717.0	71.342094	-5748914.0	2322277600000.0	358.7465009689331
18	-559.2747	1.7690952	-556.7313	-562.2363	-603.659	1.2914743	-602.17773	-605.73846	1000.0	1000.0	90000	6719112.0	1972629.2	11665447.0	76.193405	-6802992.5	3092458200000.0	380.4528112411499
19	-558.61743	0.755099	-557.6086	-559.4991	-604.34045	1.2412684	-602.4179	-606.23706	1000.0	1000.0	95000	7886788.0	2234825.8	13918300.0	81.243034	-7941329.0	4036003000000.0	402.13083505630493
20	-559.8524	0.5695221	-559.0393	-560.5752	-604.11066	1.4422439	-602.35126	-607.1173	1000.0	1000.0	100000	9146762.0	2501660.5	15845472.0	86.358185	-9165062.0	5136877000000.0	424.24485993385315
21	-559.0314	0.60246795	-558.1263	-559.80743	-603.8886	1.1365013	-602.2658	-606.2639	1000.0	1000.0	105000	10484235.0	2786387.5	18852318.0	91.432915	-10463076.0	6500841400000.0	445.1282870769501
