Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	1.8595185	5.325969	22.883238	-11.4810505	91.67723	35.400227	178.52617	57.614613	20.73444	205.1	5000	69.9891	62.41482	259.6644	-95.1095	-82.37095	34.313255	23.18269991874695
2	1.6222663	5.630909	26.64072	-11.161935	-55.708588	18.126863	-33.915806	-98.73393	20.17742	128.2	10000	221.55064	70.5725	477.0712	-180.2635	-239.31819	244.25522	46.762473344802856
3	-18.293257	3.3244467	-14.1614485	-58.807076	-20.154423	0.096777946	-20.01776	-20.321741	12.552764	12.0	15000	175.94499	196.22307	587.29803	-479.75372	-174.09042	422.50836	72.67301082611084
4	-19.559345	0.19720441	-18.813248	-20.038935	-20.124292	0.086054325	-19.982098	-20.315147	12.0	12.0	20000	-33.3129	39.402336	96.28226	-306.6502	32.256954	83.393295	98.83828210830688
5	-14.928204	1.0049764	-13.932216	-19.94429	-14.990042	0.18588004	-14.691957	-15.214874	12.187805	12.0	25000	-11.156261	9.415785	29.552523	-78.99554	10.983666	5.0987606	126.1951994895935
6	-14.746781	0.44292033	-13.836405	-15.986619	-14.753004	0.17895299	-14.5143585	-15.09983	12.34321	12.0	30000	-10.921029	5.7894917	17.478462	-50.355373	11.12638	2.077249	152.6821517944336
7	-15.142786	0.7749491	-13.874533	-17.898111	-16.115011	0.21256478	-15.791398	-16.58365	12.116222	12.0	35000	-9.329636	5.0313005	15.293463	-28.000044	9.501463	0.62327427	180.39541912078857
8	-15.004437	0.6674468	-13.907081	-17.27168	-14.844861	0.15228221	-14.629864	-15.14592	12.05314	12.0	40000	-9.108909	5.247626	15.587187	-26.678926	9.273806	0.3159085	207.92852663993835
9	-14.645027	0.40328896	-13.832038	-16.11066	-14.819577	0.16840419	-14.540436	-15.095757	12.279411	12.0	45000	-9.428831	4.798513	8.107115	-24.387417	9.568373	0.16320196	235.12589240074158
10	-14.685906	0.41267356	-13.882593	-16.149536	-14.777598	0.19504993	-14.481577	-15.098601	12.148418	12.0	50000	-9.447508	4.7988386	4.6982393	-25.821844	9.570203	0.116156004	262.8895494937897
11	-14.590728	0.2985364	-13.941237	-15.592003	-15.039007	0.16029212	-14.732072	-15.229942	12.111381	12.0	55000	-9.272706	4.87545	9.272854	-22.27961	9.365601	0.08281177	290.0031363964081
12	-14.673469	0.4083733	-13.907406	-16.22423	-14.956609	0.20544447	-14.710655	-15.317214	12.094431	12.0	60000	-9.356845	4.9123564	7.054636	-20.989382	9.454192	0.076784804	317.09210681915283
13	-14.574967	0.28653392	-13.900561	-15.5045805	-14.796988	0.15951551	-14.459425	-15.020665	12.121065	12.0	65000	-9.250062	4.9225345	6.9089313	-19.58307	9.351438	0.05308955	345.3417823314667
14	-14.595623	0.24700308	-13.984905	-15.397363	-15.113647	0.13199462	-14.915885	-15.378099	12.019231	12.0	70000	-9.301827	4.8332534	7.1893854	-18.945229	9.384453	0.0560036	373.70226979255676
15	-14.631246	0.25629833	-13.84817	-15.282102	-15.045113	0.10596186	-14.846751	-15.170439	12.009615	12.0	75000	-9.2057	4.840194	18.105322	-17.733673	9.289849	0.0429939	401.02243971824646
16	-14.6261	0.24197152	-13.660465	-15.28699	-15.102756	0.11295407	-14.883916	-15.2517395	12.0071945	12.0	80000	-9.202033	4.8277	14.127385	-17.379738	9.282314	0.05557411	427.7191550731659
17	-14.6131115	0.2520672	-13.707747	-15.550869	-15.12511	0.13700067	-14.810009	-15.319237	12.004807	12.0	85000	-9.178612	4.8395844	9.6501875	-17.172043	9.252347	0.059513677	454.44579792022705
18	-14.620556	0.24994394	-13.876565	-15.44663	-15.12382	0.14088659	-14.935681	-15.378633	12.016827	12.0	90000	-9.19813	4.822541	12.399534	-18.02824	9.26502	0.049281828	482.8498909473419
19	-14.62941	0.239913	-13.913274	-15.176266	-15.060808	0.1157517	-14.895821	-15.305864	12.0	12.0	95000	-9.174014	4.8392043	14.9453535	-19.088669	9.239666	0.044037513	510.76784086227417
20	-14.621647	0.24105576	-13.925103	-15.230706	-15.048329	0.12702936	-14.916364	-15.340279	12.007212	12.0	100000	-9.120422	4.8541994	12.912738	-20.709625	9.186373	0.035353262	540.1999633312225
21	-14.637676	0.24152134	-13.894035	-15.230631	-15.114344	0.15208624	-14.721945	-15.3130865	12.011991	12.0	105000	-9.169989	4.866644	11.988398	-20.359411	9.23501	0.041814137	567.9728558063507
22	-14.640571	0.2403648	-13.959303	-15.323877	-15.100761	0.17455733	-14.91677	-15.455164	12.009615	12.0	110000	-9.131136	4.8903465	15.673254	-19.245726	9.190945	0.034195986	595.6383423805237
23	-14.614722	0.23853545	-13.948297	-15.253461	-15.153447	0.20308782	-14.85168	-15.397819	12.004807	12.0	115000	-9.109143	4.8713512	12.940398	-23.061026	9.16934	0.030381825	622.8794045448303
24	-14.630766	0.23119679	-13.899618	-15.24426	-15.057019	0.14865011	-14.836894	-15.288567	12.009592	12.0	120000	-9.105199	4.871754	9.977013	-30.815681	9.161427	0.03491503	651.3261930942535
