Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-257.7381	74.708	-138.51009	-355.70026	-595.1915	1.1802133	-593.6944	-598.0911	1000.0	1000.0	5000	0.9238421	2.024299	12.509619	-7.963277	0.9237303	2.0233204	12.359993	-8.00119	-1.6299695	0.30837613	49.85617208480835
2	-201.57379	71.61107	-159.30748	-344.56403	-307.3465	71.064476	-192.24275	-448.23315	1000.0	1000.0	10000	2.7146106	6.26138	25.604992	-14.641959	2.7147033	6.260984	26.319063	-14.242029	-4.0457115	0.8178194	94.92670726776123
3	-359.43164	411.14655	379.83185	-801.8687	-497.81235	113.19607	-345.7187	-634.56464	1000.0	1000.0	15000	10.399481	10.317834	44.681484	-19.56574	10.400147	10.317767	44.54153	-18.223404	-12.275518	2.3864102	145.80062413215637
4	161.68918	591.0483	1047.6451	-498.7887	817.8947	304.3319	1118.2722	65.61162	1000.0	1000.0	20000	16.19272	17.227892	64.866264	-17.899488	16.192854	17.227297	65.63258	-18.156263	-17.956959	3.3142164	196.9694619178772
5	733.48505	857.7157	1549.5802	-568.7788	1682.6543	149.89699	1878.768	1371.2413	1000.0	1000.0	25000	24.434072	22.154835	80.957405	-17.554867	24.433187	22.155396	80.26592	-17.12806	-26.226938	4.1001444	239.52620100975037
6	2036.3334	176.87134	2222.9368	1794.4238	2151.4775	722.7424	2771.7676	580.969	1000.0	1000.0	30000	36.648018	27.69983	106.2888	-25.999134	36.647022	27.70033	106.057144	-24.033619	-38.605106	5.2527575	286.6405460834503
7	2706.4949	459.11725	3402.3286	2199.641	3191.349	167.29471	3615.3862	3031.6382	1000.0	1000.0	35000	53.032124	33.810547	144.92519	-26.364584	53.031452	33.81115	144.99518	-25.953482	-55.132782	8.044318	334.18460512161255
8	3101.4524	384.791	3437.8562	2386.0925	3982.3281	162.0911	4319.447	3769.1113	1000.0	1000.0	40000	72.64743	41.89872	168.28148	-19.529312	72.64725	41.898396	168.84242	-20.864058	-74.96786	11.251707	387.1137099266052
9	3145.8105	1050.469	3895.9153	1067.5917	3682.0793	1111.1403	4631.7124	1386.5182	1000.0	1000.0	45000	92.23874	51.46665	210.78448	-11.212242	92.23875	51.465622	212.93301	-12.1892	-94.83023	14.24685	432.78110909461975
10	4082.6655	173.96544	4253.1836	3778.437	4227.904	118.49548	4420.7607	4034.9219	1000.0	1000.0	50000	112.99939	61.33632	237.9178	-20.317701	112.999886	61.33594	238.60573	-18.064974	-115.474174	18.001024	480.9829111099243
11	3736.9329	1072.5338	4484.4727	1626.8367	4085.7417	1531.461	4953.3936	-359.8793	1000.0	1000.0	55000	134.74557	69.99917	262.99045	-25.67597	134.74438	69.99899	263.8988	-23.333479	-137.47523	21.810415	534.0501790046692
12	4593.5557	230.3458	4900.9526	4355.4663	4413.5537	1352.6754	5081.7256	368.49026	1000.0	1000.0	60000	155.09662	79.06511	294.4344	-26.890467	155.09726	79.06404	292.7527	-26.405996	-157.635	25.421343	577.7737681865692
13	4036.0461	1343.0723	4836.8403	1354.2639	5229.595	178.05997	5665.7114	5037.9883	1000.0	1000.0	65000	174.74379	87.21063	312.57742	-34.66313	174.74387	87.20959	309.46884	-35.67879	-177.35788	28.655457	630.9997842311859
14	4907.179	221.478	5085.7188	4491.6006	4954.8765	1100.5007	5562.645	1694.2723	1000.0	1000.0	70000	193.99098	94.4378	335.9751	-40.225166	193.99097	94.43623	336.79257	-38.10613	-196.7534	31.956484	683.7784080505371
15	4133.1636	1467.026	5597.0615	2002.7527	5403.7563	126.370415	5650.6064	5163.618	1000.0	1000.0	75000	210.84506	101.79251	359.8313	-54.674477	210.8466	101.788475	358.04193	-61.532455	-213.80595	37.76878	734.626317024231
16	5294.5166	264.03564	5584.9927	4873.183	5698.5576	116.36531	5864.492	5532.265	1000.0	1000.0	80000	227.02147	109.0555	383.72043	-49.093285	227.02255	109.052444	382.35623	-46.36699	-229.67905	45.77884	778.7615599632263
17	5533.051	214.86804	5870.9443	5262.4434	6068.753	147.94211	6368.4146	5863.928	1000.0	1000.0	85000	245.4869	113.327896	404.13812	-53.5415	245.4875	113.3246	403.70578	-79.44558	-248.67003	48.6027	820.8992381095886
18	5750.86	182.22447	6048.9927	5513.6353	6021.529	135.17293	6320.987	5871.352	1000.0	1000.0	90000	262.92014	117.81077	425.96136	-122.6029	262.92133	117.806786	427.96332	-103.519875	-266.1615	50.817238	865.3306002616882
19	4718.5347	1564.8795	6140.94	2285.5676	4095.8047	2167.331	6433.073	1235.7263	1000.0	1000.0	95000	278.60956	123.30585	443.18536	-385.90286	278.6124	123.29883	443.42343	-398.9996	-281.96094	60.20272	907.9416880607605
20	4868.3574	2097.1284	6097.0605	684.8732	5370.177	2156.8245	6747.159	947.964	1000.0	1000.0	100000	289.87546	131.86421	462.95798	-313.68713	289.87793	131.85692	467.96887	-322.21722	-293.039	67.34661	953.5146751403809
21	5459.244	1628.4618	6396.6	2219.9888	6444.644	167.86696	6802.3286	6235.5303	1000.0	1000.0	105000	304.1886	136.72913	480.12878	-160.58508	304.19153	136.722	479.8778	-153.29253	-307.6918	68.664696	1001.2444882392883
22	6137.7646	390.56512	6457.799	5432.0933	5869.6196	1434.1829	6754.849	2107.864	1000.0	1000.0	110000	318.44208	140.4261	502.02844	-145.51318	318.44656	140.41801	505.05362	-176.34381	-321.93777	71.85418	1051.9944019317627
23	6417.7217	192.73877	6780.116	6247.2334	5118.9033	2245.4148	7044.103	1236.0939	1000.0	1000.0	115000	333.43298	142.48096	508.94012	-134.18095	333.43622	142.47154	514.21027	-149.55556	-336.93134	76.413864	1109.1598839759827
24	6344.031	127.17899	6544.308	6192.0728	6414.643	782.7155	6837.706	4114.121	1000.0	1000.0	120000	347.92645	143.77989	521.1416	-157.76903	347.93054	143.77045	522.3179	-171.32571	-351.37878	81.098724	1157.9583132266998
25	5677.501	1807.4598	6788.192	2072.8582	6992.9443	547.1744	7479.5713	5401.5547	1000.0	1000.0	125000	358.98083	147.71175	529.9637	-181.75381	358.9856	147.69763	531.85455	-214.36046	-362.3012	82.98549	1215.0009331703186
26	6675.6353	89.72171	6801.5186	6529.898	6976.3076	217.0548	7353.2837	6684.2896	1000.0	1000.0	130000	370.28613	150.18086	544.5648	-194.10345	370.28973	150.17113	543.351	-288.42233	-373.7598	83.03356	1424.5533401966095
27	6826.044	259.41223	7311.0923	6562.088	5280.4937	2550.9155	7359.6855	1097.9296	1000.0	1000.0	135000	382.9625	151.21371	548.20703	-167.19437	382.9667	151.19948	551.4564	-136.9337	-386.41254	82.994644	1857.2270131111145
28	6808.638	279.78152	7132.872	6286.182	6151.4717	1607.7294	7380.9287	2940.8257	1000.0	1000.0	140000	395.27557	152.34772	565.2162	-90.17799	395.27878	152.33789	570.223	-83.19579	-398.49234	79.78861	3197.238893032074
29	6930.491	251.7407	7382.029	6678.8057	6837.418	82.12314	6933.9595	6695.4106	1000.0	1000.0	145000	407.0833	153.58542	574.1322	-105.6538	407.08646	153.5753	579.0106	-135.50735	-410.3108	81.88785	4491.248916864395
30	6872.4365	196.58382	7230.397	6641.7095	7643.91	123.212036	7816.1284	7386.6885	1000.0	1000.0	150000	418.43546	155.35272	585.696	-94.61949	418.43924	155.34087	586.53436	-151.00093	-421.9	79.6823	4541.195487976074
31	7287.0664	297.80884	7686.2607	7011.065	7672.294	586.299	8044.897	5952.8564	1000.0	1000.0	155000	429.98688	156.24786	600.877	-202.00356	429.9904	156.23668	600.9673	-264.0134	-433.4278	83.57789	4594.346279144287
32	7136.8647	350.8073	7512.903	6604.3745	7369.837	202.92542	7691.822	6992.0913	1000.0	1000.0	160000	440.72263	157.44409	617.09125	-95.84384	440.72604	157.4331	611.54944	-217.19612	-444.34735	80.6737	4647.195003032684
33	7510.6514	157.6698	7738.552	7290.4307	7665.37	87.05008	7791.9185	7506.097	1000.0	1000.0	165000	451.80902	158.31755	633.9135	-74.956635	451.812	158.30675	631.04926	-95.8693	-455.3366	82.14206	4690.473394155502
34	7439.4297	305.09482	7989.1587	7152.3433	6529.8154	1477.8174	7594.6265	3164.4712	1000.0	1000.0	170000	461.8982	159.80417	639.72656	-87.64595	461.90073	159.79637	641.14026	-118.66743	-465.29956	82.04	4751.48840212822
35	7503.009	345.1383	7808.91	6897.1045	7605.978	189.78697	7864.5933	7269.6226	1000.0	1000.0	175000	471.62167	161.0041	650.31177	-105.49433	471.62518	160.99382	652.8084	-142.87306	-475.75586	86.70399	4814.015191078186
36	7107.2085	980.96466	7847.964	5181.929	8133.5415	143.64555	8297.437	7762.548	1000.0	1000.0	180000	480.43085	163.0309	657.169	-98.58262	480.43372	163.02086	658.24457	-103.02068	-484.305	88.77314	4870.004585266113
37	7625.6445	171.67949	7875.4795	7395.606	8292.143	68.37426	8434.464	8138.6562	1000.0	1000.0	185000	488.791	164.58102	665.2533	-173.29396	488.7941	164.57175	666.9215	-321.1244	-492.592	89.91698	4919.921802282333
38	7638.47	154.7706	7919.0054	7480.077	7944.242	172.1504	8211.565	7604.524	1000.0	1000.0	190000	496.7316	166.19658	676.0986	-103.54336	496.73547	166.18648	676.45404	-128.23325	-500.1977	90.86021	4976.5830590724945
39	7355.3096	205.43684	7686.944	7150.4795	7956.5635	139.18307	8222.845	7731.9844	1000.0	1000.0	195000	504.84372	166.57187	685.15063	-96.32187	504.84665	166.55951	685.76495	-100.58352	-508.15536	93.82556	5011.19353222847
40	7679.663	288.51538	8177.498	7328.5186	8228.039	91.553055	8361.674	8068.23	1000.0	1000.0	200000	512.2074	167.30603	688.50104	-94.27196	512.21063	167.29474	689.02515	-99.3582	-515.5795	90.88657	5048.83540225029
41	7708.901	238.56438	8049.896	7363.4985	7970.236	214.34746	8451.805	7710.01	1000.0	1000.0	205000	518.6511	168.72057	694.6565	-118.60348	518.654	168.71156	696.15533	-122.86228	-521.8054	89.46517	5092.531294107437
42	8010.754	53.94033	8079.388	7942.588	8067.435	77.68485	8214.085	7946.5425	1000.0	1000.0	210000	526.7566	168.26056	704.70294	-299.27734	526.7594	168.25188	704.3043	-326.36978	-530.2095	90.24677	5134.893235206604
43	6629.3945	2778.2563	8286.593	1103.4231	8381.358	141.07419	8604.3125	8199.419	1000.0	1000.0	215000	532.2725	170.63826	704.5947	-134.40575	532.2757	170.6306	708.1294	-132.25784	-535.2866	92.294334	5176.749145030975
44	7997.0537	229.34778	8271.95	7629.57	8397.17	180.1027	8594.176	8068.844	1000.0	1000.0	220000	537.1486	173.39226	714.17993	-163.50084	537.1514	173.38036	716.8991	-221.20937	-540.1543	93.19465	5219.932762145996
45	7787.4766	948.19086	8759.247	6056.2446	8295.099	122.96053	8490.081	8105.883	1000.0	1000.0	225000	543.0453	174.4681	720.99615	-183.58571	543.0486	174.46022	721.1333	-264.2969	-546.2382	99.06966	5263.892714977264
46	8036.915	226.65	8340.575	7668.0586	8226.358	103.165955	8418.431	8081.232	1000.0	1000.0	230000	548.6938	175.45761	727.3251	-194.96999	548.6968	175.44899	728.11005	-202.85582	-552.1399	96.83705	5306.377294063568
47	7124.1875	1829.9556	8390.923	3484.0837	8771.875	180.70479	8977.939	8425.074	1000.0	1000.0	235000	554.84595	175.76604	734.8616	-186.18082	554.8484	175.75789	732.1927	-240.2812	-558.058	96.56881	5347.505722045898
48	8291.323	415.09488	8651.191	7508.1953	8577.602	117.01912	8739.775	8403.82	1000.0	1000.0	240000	558.9685	178.6481	740.15656	-192.12785	558.9708	178.64049	737.46857	-240.76364	-562.0929	98.333786	5390.418140172958
49	8121.7646	228.45232	8489.191	7768.9355	8289.981	103.05374	8451.821	8097.9497	1000.0	1000.0	245000	565.05426	177.89122	740.10657	-258.39832	565.0569	177.88222	744.63196	-247.30914	-568.2515	104.08178	5430.501765012741
50	7779.108	1115.8069	8516.542	5563.535	7531.6865	150.16084	7728.5337	7222.518	1000.0	1000.0	250000	570.21405	178.07356	744.0958	-219.95811	570.21643	178.06743	758.75226	-229.33946	-573.4883	101.2617	5470.967076063156
51	8018.2603	476.6004	8565.551	7334.2285	8261.824	87.2251	8414.95	8099.9463	1000.0	1000.0	255000	574.0913	180.15259	753.0333	-243.41727	574.09454	180.14249	756.99713	-222.09369	-577.1821	107.03452	5512.670902013779
52	8369.43	273.64816	8758.467	8066.606	8772.399	119.132355	9002.952	8551.437	1000.0	1000.0	260000	579.5392	179.7199	757.0198	-222.91924	579.54236	179.71097	756.38727	-202.5833	-582.756	104.90529	5554.011931180954
53	8473.947	445.42548	8976.557	7873.138	8649.766	166.35272	8995.268	8432.155	1000.0	1000.0	265000	584.5607	179.39783	759.00824	-291.59076	584.563	179.38899	763.60034	-288.76462	-587.8826	106.8079	5595.055516004562
54	8264.625	249.51172	8692.091	8009.8154	8746.673	348.6387	9070.945	7847.4224	1000.0	1000.0	270000	588.66895	180.5056	768.92566	-291.94513	588.67224	180.49529	768.8526	-287.4836	-592.25446	106.78642	5636.4320430755615
