Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-62.608204	91.735115	24.160263	-376.4769	-264.15692	432.38428	-41.659126	-1551.6792	178.24	161.8	5000	-0.27578166	2.410638	20.205276	-12.751573	-0.2757696	2.4094336	20.637339	-13.522644	-0.7892782	0.32254317	35.714439153671265
2	-69.976364	111.95482	43.86866	-354.51968	-51.100452	43.306168	-12.504756	-138.71053	213.03847	23.5	10000	6.862532	5.4013057	41.859398	-12.995968	6.8629217	5.4002514	42.485073	-11.867434	-9.799667	1.409654	75.19646525382996
3	-99.15377	449.16272	267.86963	-2107.7927	258.71393	185.30229	553.54895	14.545124	185.38461	580.8	15000	11.653543	6.049366	47.542065	-13.122358	11.654366	6.0516977	48.050655	-14.7855625	-13.753766	2.937482	117.3613007068634
4	128.37712	118.19111	328.45563	-5.3439703	211.11108	124.90179	466.88168	7.8741384	502.2	489.6	20000	12.240243	7.666765	44.885868	-12.701444	12.240737	7.6686115	45.08966	-15.60593	-14.202553	2.3372276	158.56623029708862
5	130.48885	141.11034	446.04953	0.30975312	154.72165	192.7381	609.78973	4.7209263	383.81818	294.6	25000	11.945703	8.330581	46.16854	-16.661207	11.946109	8.332428	46.935463	-19.100529	-13.717789	2.2229435	193.4799885749817
6	207.05717	231.15749	673.1551	5.33157	239.77388	265.35178	698.739	5.824805	382.5	433.6	30000	12.365386	8.463022	45.221134	-14.56973	12.365609	8.464738	44.855736	-18.125715	-14.015721	2.1715758	237.05202412605286
7	159.55309	207.16931	631.53217	-1.9508541	304.18793	268.26706	748.8951	13.450264	306.6	480.1	35000	13.340058	8.285463	45.486027	-13.104908	13.340357	8.287726	45.29058	-18.20511	-14.935726	2.280597	275.87442922592163
8	347.04605	248.74022	664.9057	12.442694	330.8581	285.12988	789.80493	36.74741	650.8889	549.5	40000	14.877021	7.9703503	49.18455	-18.854025	14.876808	7.9722266	48.452007	-20.82289	-16.446573	2.3259168	323.62086033821106
9	158.84879	186.11275	689.17725	4.4366927	272.79858	252.974	770.1073	59.949604	326.53333	441.1	45000	16.431389	7.5763187	48.35974	-17.417463	16.43119	7.5779643	47.04109	-16.93642	-17.940166	2.4778388	364.33658814430237
10	321.5805	274.3533	721.9868	17.764881	368.33786	241.31891	750.6363	32.95297	511.8889	564.2	50000	17.666134	7.3314056	48.77374	-19.84732	17.665924	7.3332186	47.96357	-21.346354	-19.082851	2.5224361	404.156489610672
11	308.99872	267.0612	715.7544	0.93786657	223.48372	227.47807	679.91565	25.381243	548.1	338.4	55000	19.196898	7.1083994	48.96028	-21.103868	19.196777	7.10878	49.742252	-21.491282	-20.597073	2.566944	447.1363182067871
12	278.50537	256.65207	683.6491	12.960639	409.3368	346.82568	782.23315	17.939537	417.0	533.9	60000	20.687483	7.180973	49.3327	-16.47614	20.687572	7.180837	49.083977	-19.39952	-22.038563	2.6552496	489.2848708629608
13	304.11703	277.23074	774.92236	39.78777	456.32144	322.3729	806.86584	45.027935	474.1	598.2	65000	21.930147	7.319382	51.28608	-20.315031	21.929987	7.3198028	50.824448	-20.21626	-23.259995	2.8735414	530.4511914253235
14	451.78088	304.8318	746.6415	36.188904	285.92902	277.03012	761.8527	31.897713	648.25	402.7	70000	23.49734	7.524484	52.60816	-19.233482	23.497204	7.5251617	50.582397	-17.71569	-24.835108	2.7527866	572.5777657032013
15	257.45953	278.39462	713.3127	6.222897	353.0699	347.5146	877.05444	20.75607	372.07144	414.0	75000	25.043262	7.6906695	53.133385	-16.114626	25.043161	7.691228	52.724434	-18.164003	-26.349066	2.847749	614.7770116329193
16	697.4262	85.499344	843.3142	625.43536	539.3067	349.66272	891.68176	51.360344	1000.0	651.5	80000	26.595982	7.950538	54.72396	-20.782925	26.595545	7.9531837	53.344833	-16.951096	-27.861069	2.794415	658.6913480758667
17	326.89185	278.2277	800.536	13.868678	706.6963	319.41763	1001.35095	92.52395	441.27274	767.2	85000	27.77442	8.095935	54.096752	-17.68678	27.774347	8.096893	53.780666	-16.094625	-29.003859	2.896436	702.1873738765717
