Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-236.26111	76.93477	-121.34547	-321.51462	-653.58386	162.3321	-365.99887	-977.7066	1000.0	1000.0	5000	0.9899901	2.2590435	14.1387615	-7.073955	0.98962843	2.2608457	14.641746	-7.48389	-1.8766261	0.26151347	64.35735297203064
2	-268.13623	58.263126	-170.46298	-346.14337	-482.53522	65.7133	-368.70157	-547.971	1000.0	1000.0	10000	7.1028857	4.1815405	26.602922	-6.5656576	7.102272	4.1821322	25.815048	-6.516955	-8.550248	0.57084537	131.30174612998962
3	-169.29092	506.70853	840.91064	-499.6554	-370.9865	105.60293	-156.53427	-511.69632	1000.0	1000.0	15000	11.465571	8.08899	51.283737	-6.3955364	11.465473	8.089051	47.19692	-6.054192	-12.637491	1.108109	197.18131494522095
4	315.74377	416.08768	771.3546	-167.35254	323.4164	561.66644	1722.5825	-141.81763	1000.0	1000.0	20000	12.985559	11.085832	54.532036	-10.315695	12.98514	11.086863	56.367245	-10.259465	-13.807069	1.5958847	262.3547172546387
5	712.98083	752.3859	1600.3564	-78.1419	1231.8944	604.343	2582.9685	305.1032	1000.0	1000.0	25000	15.377892	15.338627	72.05717	-10.876295	15.376875	15.339406	71.82679	-10.095248	-16.33983	2.5562599	342.458615064621
6	1680.486	914.01385	2655.787	365.0924	2041.2094	779.3223	2765.8152	696.8332	1000.0	1000.0	30000	21.319967	20.72227	86.198555	-11.5296955	21.31978	20.722582	86.20799	-16.205551	-22.340815	3.762901	407.7928431034088
7	2303.5007	558.5107	2756.6973	1215.2179	2204.8906	746.7103	3117.018	979.90076	1000.0	1000.0	35000	30.969204	26.59984	103.697586	-10.536709	30.96884	26.601109	103.30179	-9.624569	-32.04095	5.4665923	472.0148060321808
8	2328.6396	757.3661	3028.1387	916.1384	3445.5308	80.538704	3577.5034	3301.9182	1000.0	1000.0	40000	39.629055	30.719479	111.296646	-8.008961	39.628147	30.720715	111.33686	-7.835667	-40.67734	6.1184564	546.8073120117188
9	3402.7505	274.09207	3886.6848	3049.264	3749.3335	467.27655	4171.416	2399.6274	1000.0	1000.0	45000	49.97201	34.876133	124.03005	-3.9411504	49.971436	34.87714	122.93989	-4.2694373	-50.89922	7.234914	626.1674311161041
10	3355.9758	522.94385	3928.0776	2589.9978	2086.1216	992.131	3964.9856	940.35864	1000.0	1000.0	50000	60.053875	38.903374	140.69714	-3.69853	60.053345	38.903694	139.13388	-3.8496594	-60.7155	8.629152	701.865268945694
11	3809.5273	414.00928	4275.098	3080.7336	4272.281	157.32332	4548.4233	4035.723	1000.0	1000.0	55000	69.30346	42.815372	155.0027	-2.4040873	69.3032	42.817314	154.70297	-2.3338008	-69.92725	10.7308655	781.4787120819092
12	3891.894	403.90683	4275.1763	3225.1606	4130.1753	145.85783	4355.441	3818.448	1000.0	1000.0	60000	79.457634	46.420563	171.10378	-2.7284505	79.45729	46.423588	166.13626	-3.617344	-79.84852	13.326468	848.6770899295807
13	4318.427	277.77646	4648.9604	3952.751	5187.8574	94.45904	5364.0625	4990.1284	1000.0	1000.0	65000	88.51938	49.133602	173.62093	-5.547288	88.518555	49.135593	174.39673	-3.4307873	-88.78812	15.685178	912.4086680412292
14	4497.147	320.31177	4957.0054	4016.8489	4298.79	968.46625	4877.98	1445.4941	1000.0	1000.0	70000	97.59721	51.706467	186.67937	-3.6208253	97.59711	51.706753	186.98523	-1.5788691	-97.7954	15.489926	975.8052589893341
15	4878.758	325.10837	5271.8105	4495.1436	4738.7256	683.5781	5235.1904	2734.3657	1000.0	1000.0	75000	105.92591	54.11655	195.97304	-2.7904043	105.924774	54.117504	196.47589	-2.6830757	-106.07006	17.333334	1040.2788259983063
16	5259.552	263.8841	5490.4844	4796.255	5407.13	126.7633	5567.1514	5147.38	1000.0	1000.0	80000	114.39787	56.587418	202.59607	-3.857526	114.39719	56.58848	204.51103	-4.325701	-114.34045	18.120638	1106.9107508659363
17	4306.7744	1526.765	5322.9766	1318.733	5411.29	123.2296	5629.456	5180.4893	1000.0	1000.0	85000	121.96587	58.6509	211.96082	-4.1620846	121.96506	58.652954	211.4404	-1.8234932	-121.8075	18.244093	1171.3623542785645
18	5304.9463	163.73566	5462.1055	5043.54	5745.698	94.8871	5866.0986	5598.2554	1000.0	1000.0	90000	127.12011	60.447018	215.65262	-5.2875614	127.11882	60.448917	216.54912	-4.604358	-126.98105	18.438	1235.8240571022034
19	5477.037	432.56326	6135.867	4969.69	6068.176	71.15773	6170.1636	5928.373	1000.0	1000.0	95000	132.7209	61.3614	218.30095	-6.7271934	132.7198	61.363644	220.92386	-6.0358434	-132.35185	18.457983	1301.1519951820374
20	5597.871	257.5037	5970.5	5307.7886	6177.798	49.731697	6287.0103	6109.766	1000.0	1000.0	100000	137.34445	62.165924	222.597	-9.4564905	137.34445	62.16696	225.02605	-6.851671	-136.84335	18.949572	1366.5474181175232
21	5440.464	867.94305	6014.7085	3733.4219	6071.9165	201.52528	6270.6074	5631.592	1000.0	1000.0	105000	141.30031	62.40026	225.6954	-4.577212	141.29987	62.402317	227.03383	-5.633468	-140.62836	18.919744	1432.443885087967
22	5985.866	151.03145	6117.0737	5695.5605	4883.2124	293.49756	5388.702	4433.9263	1000.0	1000.0	110000	144.42412	62.585724	230.2397	-9.305648	144.42352	62.586254	229.17842	-6.0504737	-143.8191	18.186756	1497.5221061706543
23	6110.8022	460.1348	6485.981	5307.0874	6080.5127	738.87476	6545.0566	3953.229	1000.0	1000.0	115000	147.09834	62.212193	227.88412	-6.931615	147.09807	62.213924	227.09726	-6.6585975	-146.0649	17.38568	1562.5948011875153
24	6231.931	137.47427	6376.6167	5983.8506	5240.9883	1195.8185	6589.8574	3537.9287	1000.0	1000.0	120000	149.0644	61.739944	229.5991	-9.42125	149.06424	61.74135	234.86285	-9.611307	-147.92395	16.068937	1629.8800461292267
25	5150.632	1635.9106	6066.535	1886.5312	5188.542	1947.7164	6575.7295	1211.5106	1000.0	1000.0	125000	149.16736	61.508896	229.66368	-5.4852877	149.16765	61.510292	227.04506	-5.7657175	-147.71814	16.083961	1696.5718870162964
26	5816.6567	685.7919	6552.4736	4558.2603	6338.035	288.55212	6606.274	5534.451	1000.0	1000.0	130000	149.5469	60.478867	225.75871	-4.482665	149.5479	60.480274	232.42819	-6.7742534	-148.04402	15.310486	1761.433529138565
27	5622.5596	1248.1752	6373.437	3150.359	6511.2764	187.85832	6733.6753	6154.5503	1000.0	1000.0	135000	148.72818	59.945553	224.33748	-8.180932	148.72836	59.945705	223.7113	-8.36758	-147.23358	15.138865	1827.9702529907227
28	6280.9854	283.32898	6579.982	5756.5854	6312.2744	219.01628	6515.708	5766.507	1000.0	1000.0	140000	148.35014	59.00894	220.84386	-8.175207	148.3505	59.009426	222.34688	-6.8493414	-146.7574	14.772381	1894.075824022293
29	6353.8374	224.99037	6712.211	6091.5957	6803.862	125.4513	7073.609	6629.6724	1000.0	1000.0	145000	148.1251	57.962696	219.43597	-6.5778265	148.12645	57.963837	229.88156	-7.4039927	-146.28136	14.619522	1958.3882002830505
30	5596.7427	2099.5037	6811.1333	1401.6505	6485.5146	118.73371	6621.455	6246.9136	1000.0	1000.0	150000	147.69762	57.299786	217.93262	-4.04354	147.6987	57.30042	219.3559	-7.77745	-145.9449	13.57485	2023.724487066269
31	6317.801	276.0328	6812.1333	6062.6797	5859.419	1670.7833	6610.991	867.3657	1000.0	1000.0	155000	147.06897	56.88685	223.39236	-10.412085	147.06947	56.886967	215.47957	-7.859012	-145.18187	13.377112	2088.6127569675446
32	5568.5366	1596.3385	6686.6655	2408.779	6116.381	1259.1146	7006.4116	2778.2405	1000.0	1000.0	160000	146.65337	56.11828	225.24326	-3.667697	146.65408	56.11872	218.24246	-3.510707	-144.77754	13.44762	2153.626920938492
33	6260.5586	244.46016	6661.747	5986.7393	6843.052	99.837715	6973.861	6649.6772	1000.0	1000.0	165000	146.07587	55.58463	216.11794	-3.990776	146.0768	55.585487	212.73676	-3.6970077	-144.17993	12.995426	2218.434634923935
34	6441.2085	221.42465	6665.4263	6052.141	6895.8594	182.37001	7340.7334	6705.303	1000.0	1000.0	170000	145.83366	54.949284	212.51463	-2.2160826	145.83461	54.950542	213.25677	-5.730173	-143.65778	12.966364	2284.8879799842834
35	6478.2075	225.47018	6861.7207	6256.9365	7047.6084	91.043625	7158.5522	6905.5596	1000.0	1000.0	175000	145.61575	54.25371	210.29802	-1.401753	145.61647	54.256317	210.48465	-2.013389	-143.5447	12.670144	2350.5817589759827
36	6725.492	75.61826	6816.3945	6615.124	6829.6094	151.97409	7062.826	6528.7646	1000.0	1000.0	180000	145.69212	53.446075	209.6417	-3.0510545	145.69295	53.446514	208.14163	-2.7406683	-143.6765	12.09335	2415.5907270908356
37	6614.435	90.51767	6730.8237	6482.404	7186.732	148.43204	7379.1064	6815.1465	1000.0	1000.0	185000	145.7093	52.835518	207.44588	-3.4446387	145.71071	52.837147	208.59477	-2.6237168	-143.64626	12.061959	2481.3571400642395
38	6814.45	97.70655	6933.0835	6644.959	7119.733	72.52503	7228.6987	7003.791	1000.0	1000.0	190000	145.73918	52.48008	231.65512	-5.961151	145.74014	52.480915	209.85278	-4.2517734	-143.61082	12.49532	2545.9563801288605
39	6810.9194	153.37997	6958.992	6564.163	6814.2354	137.46841	6974.6377	6478.7363	1000.0	1000.0	195000	145.73752	52.007698	208.34514	-20.725466	145.73836	52.008095	207.26482	-3.40131	-143.45811	11.638004	2613.1425290107727
40	5778.2817	1291.1741	6625.148	3207.402	5477.3325	2231.2515	7109.4336	1513.8552	1000.0	1000.0	200000	145.8303	51.58054	208.80214	-3.2513967	145.83145	51.58248	206.57219	-3.7049556	-143.41765	11.234017	2678.9788460731506
41	6744.6094	290.1879	7145.6113	6347.8013	6751.676	132.59273	6938.2476	6519.638	1000.0	1000.0	205000	145.4908	51.42818	244.97646	-1.9197044	145.49147	51.430363	212.5847	-1.5062809	-143.118	11.23474	2747.267669916153
42	6765.6953	193.33766	6960.609	6459.913	7009.927	128.06352	7281.529	6797.391	1000.0	1000.0	210000	145.83972	50.865944	207.58821	-2.2125158	145.84044	50.86727	205.20708	-2.8984613	-143.32054	11.087692	2830.988874912262
43	6938.953	174.59908	7273.395	6787.748	7419.12	123.264015	7684.074	7217.7334	1000.0	1000.0	215000	146.06093	50.52717	218.3626	-3.498228	146.06197	50.52838	205.85419	-1.2833352	-143.485	10.68614	2899.7649919986725
44	6884.4062	148.11952	7032.475	6655.9	7405.3423	111.96109	7578.6562	7198.4043	1000.0	1000.0	220000	146.25067	50.2868	204.89694	-0.34621954	146.25166	50.28639	210.22093	-1.3384042	-143.72212	11.051817	2974.8943452835083
45	6927.1396	218.98297	7223.4453	6614.945	7291.3564	124.74898	7494.656	7066.839	1000.0	1000.0	225000	146.43315	50.063408	250.9604	1.6649613	146.43428	50.06459	206.25037	1.998198	-143.85277	10.726435	3041.485992908478
46	6944.556	190.9076	7209.6113	6644.3037	7580.3604	103.90494	7718.553	7394.9526	1000.0	1000.0	230000	146.67813	49.728905	209.44542	-1.5543666	146.6789	49.730717	205.12878	-1.2614303	-144.03534	10.620236	3107.794885158539
47	7171.646	145.1779	7425.497	6981.2236	7691.721	97.009224	7924.396	7503.3374	1000.0	1000.0	235000	146.92871	49.45063	205.51404	1.3392754	146.92955	49.450638	205.2282	1.1284747	-144.13849	10.310497	3167.194785118103
48	7152.954	144.29333	7395.133	7018.3687	7212.0146	190.22093	7564.933	6874.562	1000.0	1000.0	240000	147.0827	49.160587	222.26324	-0.3480835	147.08392	49.160885	208.12012	-1.8408222	-144.20828	10.222203	3225.7118241786957
49	7247.8545	72.82378	7378.6772	7165.9688	7655.9585	125.36254	7889.4136	7450.5767	1000.0	1000.0	245000	147.13765	49.119434	249.13666	-2.784227	147.1373	49.125954	207.22845	-2.8629813	-144.25363	10.44114	3283.8480970859528
50	7372.0796	90.071465	7490.9575	7265.0527	7794.314	42.95373	7858.904	7724.318	1000.0	1000.0	250000	147.49007	48.80646	213.1703	-2.9862652	147.49045	48.806564	207.92224	-1.5068703	-144.79712	10.244966	3342.116408109665
51	7233.447	165.84158	7411.38	6946.203	7730.857	96.832535	7918.678	7579.2686	1000.0	1000.0	255000	147.88268	48.54494	273.85233	0.18715906	147.88335	48.546364	207.56708	-2.9849277	-144.99146	10.241668	3400.9160969257355
