Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-342.44244	68.75638	-271.1861	-428.4403	-564.4197	1.3269464	-561.70795	-567.4844	1000.0	1000.0	5000	0.19129288	1.0774444	5.2198477	-6.9377146	0.19135095	1.0766679	5.4177456	-6.8550863	-0.59157157	0.721107	31.992807865142822
2	-250.40298	32.343365	-201.593	-296.12186	-392.05353	16.744473	-366.18454	-424.78864	1000.0	1000.0	10000	0.15127492	1.324518	6.416223	-8.9166565	0.15117271	1.3251264	6.650471	-9.881818	-0.621097	0.8392163	62.21214985847473
3	-337.2103	114.087456	-127.111755	-445.70798	65.17157	74.5803	183.03612	-25.501575	1000.0	1000.0	15000	1.274934	1.8557469	9.736254	-5.622917	1.2758057	1.8549992	9.13468	-6.816076	-1.7897967	0.8816033	90.45743083953857
4	40.018658	46.554386	116.90728	-25.898546	309.7315	110.66843	469.85095	56.583263	1000.0	1000.0	20000	3.3713944	2.5381708	12.8068695	-7.046526	3.3712392	2.5388489	13.003038	-5.834048	-3.8957098	0.9671047	119.46751189231873
5	372.47177	102.11287	480.28275	190.23766	466.4746	44.68589	530.06696	405.19855	1000.0	1000.0	25000	6.305313	2.9609363	17.439499	-3.3231447	6.304912	2.962335	16.3389	-2.3995214	-6.8492994	1.2276809	150.58208680152893
6	364.4638	282.04044	556.5347	-196.445	660.69604	33.984188	731.1056	589.5206	1000.0	1000.0	30000	8.41208	3.327433	19.966038	-3.391914	8.41009	3.3310585	19.986534	-1.407768	-8.873139	1.5640948	180.15674209594727
7	394.42163	315.42584	602.91815	-233.36545	-27.64169	219.41345	325.29205	-177.82722	1000.0	1000.0	35000	9.376376	3.6486552	20.06218	-2.2318473	9.374343	3.6518595	20.70301	-1.2479665	-9.784713	1.4622362	208.785218000412
8	100.33615	254.42871	522.5201	-124.141136	-86.54834	2.9118586	-82.39137	-91.17459	1000.0	1000.0	40000	9.686076	3.6075218	20.857744	-2.764489	9.684688	3.610209	20.790964	-0.77856183	-10.052761	1.3154596	236.16365003585815
9	-65.81639	14.395856	-52.375275	-87.69603	-87.42795	3.7701402	-77.409485	-91.73415	1000.0	1000.0	45000	9.4722	3.2065074	20.507057	-1.1231556	9.471367	3.2090788	20.115437	-1.1584773	-9.792543	1.15816	264.1267478466034
10	40.351784	253.10246	546.32623	-95.676575	-26.077124	158.98912	450.85223	-82.46256	1000.0	1000.0	50000	8.938652	2.5910351	19.098534	0.2099185	8.938295	2.5921533	18.067741	-1.6819582	-9.220122	0.96387273	291.8897850513458
11	34.303535	252.0322	537.7271	-106.616844	-110.38881	1.90447	-106.99634	-113.771324	1000.0	1000.0	55000	8.235665	1.994978	18.008131	-0.0942297	8.235629	1.996525	17.222809	-3.4459562	-8.491974	0.8254203	319.533814907074
12	256.52032	308.8211	611.9174	-124.080864	424.70258	189.23677	564.8444	-123.91101	1000.0	1000.0	60000	7.732214	1.6271962	16.082191	-2.2247348	7.7322383	1.6282728	15.123638	0.45407057	-7.9699764	0.7516453	347.194299697876
13	259.25015	324.68094	693.08374	-120.6199	207.87398	311.7006	567.2926	-108.29961	1000.0	1000.0	65000	7.3555207	1.4400201	14.003867	0.592927	7.355746	1.4403937	14.54192	0.17607927	-7.5687156	0.72937655	374.76484298706055
14	478.75946	306.0037	732.2896	-101.26041	525.1767	60.497498	606.7273	441.31137	1000.0	1000.0	70000	7.2078013	1.3529378	14.232424	0.043027878	7.207809	1.3533727	13.704825	-0.34200525	-7.415761	0.70024925	402.6937987804413
15	617.32605	62.267162	686.6162	511.90732	432.21103	273.82037	659.38007	-103.904274	1000.0	1000.0	75000	7.0888376	1.3183981	13.243771	-0.17630816	7.089094	1.3183557	14.059032	0.070578575	-7.285154	0.6807324	430.8031268119812
16	414.2046	284.53455	655.6745	-122.48811	494.73688	214.20738	714.40314	-113.95786	1000.0	1000.0	80000	7.047505	1.324313	13.841867	-0.08939791	7.047801	1.3245059	13.850035	0.36686468	-7.2404985	0.6801543	458.06710982322693
17	499.3763	75.482864	622.2405	404.72934	518.8833	217.3165	671.5971	-110.09115	1000.0	1000.0	85000	7.0816817	1.3521559	13.520942	0.35173416	7.081898	1.3523986	14.156914	0.26512384	-7.2669096	0.6939214	485.4820477962494
18	492.01007	303.9376	739.8286	-98.73438	794.1376	60.717663	928.9851	693.2334	1000.0	1000.0	90000	7.0155797	1.3759521	13.683484	0.69117355	7.01563	1.3761288	13.382429	0.76431036	-7.193008	0.7075186	514.1209137439728
19	751.5343	92.288734	896.75146	618.03827	699.1617	48.200665	776.98285	604.7489	1000.0	1000.0	95000	6.97467	1.4266763	13.686395	0.5449214	6.9750514	1.4253368	13.982992	0.6048188	-7.1485662	0.73109806	541.4515519142151
20	667.9202	65.53001	766.59753	600.3604	461.28394	50.663933	513.9893	360.93787	1000.0	1000.0	100000	6.9910927	1.4690092	14.425611	0.13935137	6.991195	1.4681993	14.569751	-0.1950469	-7.1684656	0.77163875	569.0933899879456
21	634.0978	91.98071	741.2401	467.0437	604.0852	58.125896	685.9832	474.70334	1000.0	1000.0	105000	7.0632424	1.471423	14.512382	-0.15416622	7.0629945	1.4715916	14.8709755	0.16017771	-7.2369475	0.7641889	596.8570170402527
22	516.0754	91.858086	620.9404	404.3897	661.85333	60.428795	763.7528	572.0784	1000.0	1000.0	110000	7.0348086	1.4769572	14.446774	0.21073484	7.0349784	1.4762875	14.588451	-0.52949667	-7.201823	0.7513807	624.8834490776062
23	528.88367	75.35263	651.9935	419.82764	580.4943	48.720478	647.9728	487.1636	1000.0	1000.0	115000	7.037047	1.4803993	14.495232	0.6215315	7.037246	1.4794786	14.624321	0.37541628	-7.194525	0.75293714	652.8974349498749
24	579.9352	98.82849	689.7723	414.65005	503.50375	33.143696	571.36774	448.96298	1000.0	1000.0	120000	7.0283027	1.4848665	14.540834	0.36200237	7.0283933	1.4840585	14.314638	0.29669952	-7.18225	0.75291425	681.1787056922913
25	461.31982	152.34976	715.75934	312.60876	464.9586	34.401207	527.2814	418.3421	1000.0	1000.0	125000	7.020032	1.4779357	14.396057	-0.77074337	7.020148	1.4772165	14.774877	0.83972454	-7.170584	0.7472875	708.9017038345337
26	411.403	289.63336	712.39026	-135.9316	361.66135	32.988308	431.70383	305.632	1000.0	1000.0	130000	6.9774365	1.4701492	14.49362	-1.114367	6.977586	1.468822	14.575489	0.29800987	-7.1221037	0.75039595	736.6188728809357
27	498.30112	96.00274	661.95306	385.2934	575.44543	30.826899	608.15985	507.7782	1000.0	1000.0	135000	6.944134	1.4711595	14.373264	-2.2705455	6.94441	1.469489	14.29616	-0.6221113	-7.0845227	0.74115866	764.5672008991241
28	533.2897	64.52301	597.481	409.56375	444.45737	54.261845	526.66425	360.00842	1000.0	1000.0	140000	6.895042	1.4766546	14.1711645	-0.35306835	6.895292	1.4758809	14.227922	0.058532238	-7.0233936	0.7294741	792.5372059345245
29	491.81378	76.145996	572.15045	389.9127	605.693	245.48647	728.77405	-126.85879	1000.0	1000.0	145000	6.869882	1.4892	14.328077	-0.5567951	6.8700867	1.4878571	14.327826	0.23982811	-6.997856	0.74015975	820.6103758811951
30	622.0742	68.96319	745.34515	540.3964	551.7015	41.45601	639.7349	503.58618	1000.0	1000.0	150000	6.9064627	1.479072	14.01789	0.0075592995	6.906378	1.4785478	14.31913	-0.49598503	-7.032503	0.7278932	848.4535579681396
31	593.19073	100.37306	752.8084	441.06934	225.12057	273.61984	487.79327	-113.252945	1000.0	1000.0	155000	6.923682	1.4915079	14.416542	-0.22437811	6.9238024	1.4901203	14.112549	-0.26334906	-7.045071	0.7386898	876.5323979854584
32	516.1537	69.856674	608.304	416.1341	546.1261	41.50729	640.61053	490.97562	1000.0	1000.0	160000	6.876776	1.4843951	14.141239	-1.4038515	6.876907	1.4834663	14.001883	0.012308121	-6.99552	0.7269016	904.8405408859253
33	555.47705	59.558193	628.6817	455.78568	377.36774	169.57596	496.8599	-120.27693	1000.0	1000.0	165000	6.8590903	1.4765126	14.478323	-0.5931339	6.8591347	1.4755971	14.421751	-0.42979908	-6.9736967	0.7137936	932.9435968399048
