Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-290.24472	63.52145	-184.32297	-365.14972	-560.9972	1.4576895	-558.6042	-563.0561	1000.0	1000.0	5000	2.3189375	2.7258084	16.718855	-5.365756	2.3182268	2.725445	16.37597	-5.8208365	-3.4170485	0.45270538	62.066251039505005
2	-241.56255	94.89395	-145.23294	-422.5883	-493.6302	95.9368	-309.97598	-693.9372	1000.0	1000.0	10000	7.9781566	5.6243114	30.264847	-4.4052653	7.977402	5.6239395	29.469227	-4.9085	-9.498475	1.2206775	120.65120005607605
3	152.70544	650.43353	1306.9742	-508.23935	201.31827	498.2984	1193.9769	-390.81183	1000.0	1000.0	15000	12.744891	11.207991	58.168518	-8.578714	12.745351	11.206976	62.103966	-8.882524	-13.776676	2.4070265	189.28352093696594
4	828.53357	774.75006	1840.2681	-471.60934	43.040466	641.5313	1816.0912	-537.64276	1000.0	1000.0	20000	18.10644	16.6182	72.456665	-10.0622015	18.10569	16.616444	74.63433	-10.130438	-19.027857	4.4403963	259.4241919517517
5	1231.0674	1063.555	2318.7969	-324.8336	2229.5562	893.50946	3027.0972	-73.52227	1000.0	1000.0	25000	24.916214	23.260838	105.69005	-11.010525	24.916306	23.258509	106.45907	-11.545704	-25.810953	7.6825204	328.2486810684204
6	1077.7523	1197.4333	2497.6965	-438.57245	1063.3894	1287.3718	2793.0032	-611.0685	1000.0	1000.0	30000	33.643932	31.243885	125.92649	-12.454308	33.641407	31.244526	126.13947	-13.718772	-34.598907	12.665988	387.1217288970947
7	882.99695	1109.8567	2796.0747	-294.58994	1906.8708	632.0551	2757.0115	1027.9541	1000.0	1000.0	35000	40.595623	39.383404	142.7453	-13.00544	40.586742	39.390602	143.56337	-14.739973	-41.730545	18.453094	456.47369599342346
8	1739.7976	831.0895	2811.3474	590.46967	1871.01	929.1393	3056.5347	292.62253	1000.0	1000.0	40000	49.62902	46.776802	158.42535	-14.208872	49.613674	46.791065	155.83578	-14.560798	-50.750595	25.107813	528.9439699649811
9	2823.266	538.4044	3508.294	1952.9653	1833.432	1155.1326	3522.0083	-47.7829	1000.0	1000.0	45000	62.548252	54.15339	181.95206	-15.824463	62.531185	54.17059	176.7538	-14.424994	-63.809223	32.240044	597.7850730419159
10	2376.7517	1294.4718	3533.1255	97.55398	1604.6282	1075.6986	3600.1416	183.79001	1000.0	1000.0	50000	74.25908	61.011143	213.77893	-13.489185	74.24831	61.02164	215.3375	-16.73154	-75.48254	38.82556	665.4118371009827
