Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-264.39304	59.73667	-192.19766	-338.40552	-436.52246	10.870785	-420.99173	-456.9041	1000.0	1000.0	5000	1.451406	2.5146368	16.411745	-4.5908904	1.4518864	2.5105205	16.63623	-4.62349	-2.2981527	0.64529365	66.23574256896973
2	-281.12665	21.570608	-245.59448	-307.2237	-728.9744	67.71067	-599.267	-810.4779	1000.0	1000.0	10000	7.807176	6.2510147	32.628567	-3.8071074	7.806393	6.2527986	31.942617	-3.3520746	-9.423878	1.6308217	111.09470081329346
3	-446.97598	108.88174	-331.40894	-621.1258	-458.43442	113.10314	-326.80066	-705.9467	1000.0	1000.0	15000	13.502197	9.872917	52.152214	-6.327095	13.502796	9.875203	51.950066	-6.3463974	-14.720617	2.942429	157.33945560455322
4	-309.52313	237.36858	79.55687	-667.64294	-42.353096	85.67965	203.61388	-94.556366	1000.0	1000.0	20000	11.673983	10.22961	46.81656	-8.202869	11.674103	10.2325735	48.58807	-7.433916	-12.457595	2.8615036	204.33248496055603
5	685.58203	568.6703	1494.7515	-71.9308	965.31445	348.05783	1413.1522	93.4269	1000.0	1000.0	25000	13.278895	12.084738	64.134735	-8.706707	13.278806	12.087919	64.92199	-8.0851345	-14.1418705	2.8430102	250.9304051399231
6	1347.5681	479.2012	1963.9338	566.68805	762.41833	633.29944	1752.926	-87.48587	1000.0	1000.0	30000	19.258818	18.926191	89.996574	-9.397177	19.25858	18.930805	89.03926	-9.021099	-20.374002	4.52686	296.3558759689331
7	1032.8223	869.14545	2210.877	81.68132	13.100612	160.07108	387.5901	-139.0037	1000.0	1000.0	35000	27.425026	27.488111	129.5318	-11.765702	27.424753	27.492832	128.73845	-9.96792	-28.7618	6.8519955	342.74666714668274
8	140.96606	239.8751	446.92615	-140.32326	2968.27	626.5601	3605.0415	1447.3455	1000.0	1000.0	40000	32.357788	35.258984	148.47423	-15.945772	32.357193	35.2638	148.15317	-14.0484495	-33.704636	9.430548	388.78098917007446
9	1761.4834	1247.7411	3361.547	215.63371	2302.9414	60.13677	2403.503	2190.8628	1000.0	1000.0	45000	39.132904	44.70118	168.96541	-22.619314	39.132328	44.704876	169.86377	-19.38736	-40.59325	13.348584	440.20908975601196
10	2085.4995	1146.9933	3376.8855	160.50882	2224.4834	1192.9412	3473.5425	54.507935	1000.0	1000.0	50000	48.864075	54.114693	205.48422	-23.114285	48.863785	54.11669	204.73314	-21.993887	-50.285313	16.785757	486.3496479988098
