Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-276.06183	89.27319	-177.26186	-440.87378	-463.35416	10.678775	-444.17093	-484.13654	1000.0	1000.0	5000	1.4662799	2.51056	19.036053	-6.662595	1.4667649	2.5145326	18.543337	-7.0148344	-2.4791474	0.29739642	48.18695902824402
2	-286.27747	52.91248	-213.99083	-353.2776	-765.71106	40.19429	-704.02997	-836.00507	1000.0	1000.0	10000	10.910229	8.320567	54.12626	-5.96049	10.909994	8.322425	55.07555	-5.8490787	-12.782937	1.3872634	96.926842212677
3	-328.11166	300.65643	31.798315	-708.59534	-330.08633	303.91052	-107.64546	-1177.5911	1000.0	1000.0	15000	17.291464	8.372406	54.80644	-2.1261911	17.290787	8.371824	53.552258	-2.050503	-18.800474	1.682128	148.9154200553894
4	-195.39969	167.97313	17.28539	-420.16812	811.4551	395.5018	1630.5765	174.05357	1000.0	1000.0	20000	21.18929	13.215859	80.9731	-7.3253393	21.18918	13.215533	78.05344	-8.761286	-22.864037	2.5544941	209.13572907447815
5	1098.52	379.3308	1560.0157	609.1845	1800.4479	682.45355	2519.7073	583.84735	1000.0	1000.0	25000	26.284203	21.366009	106.12597	-9.0778675	26.284206	21.364876	105.67202	-9.768537	-27.898804	4.1130943	267.60051012039185
6	2328.0132	798.5683	3134.2314	1077.0111	3024.7556	181.81122	3176.9016	2533.801	1000.0	1000.0	30000	38.801746	33.58053	153.1448	-11.825368	38.80143	33.579033	156.00302	-11.840519	-40.839176	7.6499734	323.57131695747375
7	2830.5483	959.76825	3438.339	940.3153	3378.306	1082.8137	4611.7754	1185.8615	1000.0	1000.0	35000	59.22428	47.063114	181.10005	-13.769516	59.22309	47.062138	181.58815	-16.25122	-61.496624	12.353652	384.74773502349854
8	3568.0767	339.43967	4050.6924	3217.2217	4236.4224	399.89798	4786.414	3591.1655	1000.0	1000.0	40000	81.52086	59.624474	221.51086	-20.436298	81.52009	59.62114	219.58157	-21.852169	-83.829544	18.188719	441.461718082428
9	4010.7336	886.77893	5021.924	2384.9958	4202.7515	381.79123	4965.3096	3774.8066	1000.0	1000.0	45000	104.086235	71.16913	250.35239	-16.626131	104.085495	71.16392	250.94812	-15.963102	-106.66812	24.952057	503.06043696403503
10	4351.697	805.1552	4917.0415	2779.785	3820.8809	1387.4752	5202.067	1062.9563	1000.0	1000.0	50000	127.7543	82.25166	281.5395	-11.13734	127.75377	82.2482	283.49496	-15.550992	-130.16489	31.729944	562.3444561958313
