Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-275.64105	47.83099	-233.21051	-366.25864	-446.7877	89.550446	-354.88632	-690.4198	1000.0	1000.0	5000	1.9798241	2.693992	18.069069	-6.077897	1.9813353	2.688049	17.539549	-5.9111013	-2.7414885	1.4851779	49.67459297180176
2	-270.88348	42.97364	-223.52814	-349.50882	-899.15295	22.758026	-857.6097	-929.6957	1000.0	1000.0	10000	11.252299	10.406398	48.347363	-26.009537	11.255692	10.401888	47.119926	-23.801565	-12.289858	6.97487	104.44450688362122
3	-609.0854	117.56325	-547.11383	-844.17456	-597.87177	1.8535715	-592.9412	-599.484	1000.0	1000.0	15000	31.247835	20.613194	75.68478	-48.454964	31.267046	20.613386	77.19552	-36.641003	-31.463606	19.529503	157.66433095932007
4	-551.28174	1.8098732	-549.016	-553.59454	-598.26984	0.9942876	-596.47504	-599.6375	1000.0	1000.0	20000	70.22779	38.972927	161.59471	-104.42794	70.25044	38.96464	160.98993	-65.299416	-70.90476	59.592907	212.94029808044434
5	-548.8784	2.757035	-545.1325	-553.0875	-582.7814	10.535215	-557.66833	-593.6927	1000.0	1000.0	25000	181.73343	84.56206	397.9425	-199.00307	181.77924	84.61561	388.73267	-101.488495	-183.57997	280.9529	269.0733561515808
6	-544.7397	12.7597885	-520.6639	-557.10425	-597.36774	7.0143747	-589.25684	-611.29913	1000.0	1000.0	30000	500.62125	214.03032	1073.158	-267.85693	500.65384	213.99225	1070.5869	-226.0307	-505.9661	1811.722	325.4824697971344
7	-548.31854	7.4045815	-536.8484	-559.13837	-591.83655	1.5928844	-589.64935	-594.39795	1000.0	1000.0	35000	1450.189	594.0432	3023.3508	-763.1489	1450.5314	594.11926	3068.9805	-585.36615	-1463.9595	14036.511	385.8834738731384
8	-548.2582	2.73973	-545.77423	-551.7159	-599.698	3.533418	-590.3721	-603.9293	1000.0	1000.0	40000	4426.954	1783.8787	9261.757	-1532.9341	4428.3193	1785.2313	9293.981	-1565.7933	-4481.8623	127612.97	442.707731962204
9	-563.6614	10.753563	-555.0266	-584.2719	-611.7207	4.4323316	-605.02893	-622.1542	1000.0	1000.0	45000	13758.778	5379.9795	28554.35	-1813.8335	13759.878	5378.6147	28538.8	-1064.0128	-13882.043	1251530.8	500.0621750354767
10	-552.0487	11.948972	-534.15625	-568.72595	-591.452	2.374083	-588.62604	-595.4221	1000.0	1000.0	50000	43518.004	15979.908	89641.86	-485.47876	43522.24	15980.743	89395.234	334.8021	-43993.973	12436831.0	560.2269749641418
11	-547.09705	2.6039078	-544.24304	-550.2989	-596.8085	2.9613905	-590.27014	-599.5063	1000.0	1000.0	55000	143572.25	50787.33	310996.6	27793.9	143661.52	50752.7	306366.28	25186.04	-145892.36	146679310.0	618.3239009380341
12	-550.95667	1.4681972	-548.34686	-552.4034	-606.479	5.1216216	-599.64996	-615.2003	1000.0	1000.0	60000	496752.34	181300.0	1278417.5	181811.97	497117.2	181227.88	1296596.0	180780.27	-505879.25	2516548900.0	679.3123321533203
13	-557.6181	3.6502137	-552.07446	-561.4593	-591.8155	0.9279273	-589.5972	-592.576	1000.0	1000.0	65000	1752224.1	665676.6	5557896.0	570095.56	1753410.8	665570.94	5486992.5	547196.5	-1790073.9	50395670000.0	731.9040961265564
14	-551.774	2.9826684	-547.4251	-555.6292	-591.0581	1.4411452	-587.9382	-593.1753	1000.0	1000.0	70000	6296224.0	2532310.2	23059866.0	1437903.4	6303094.5	2529528.2	22532664.0	1495150.2	-6511979.0	1115144200000.0	795.3522229194641
15	-548.1507	2.5733464	-544.7057	-551.4226	-598.9132	0.63813573	-597.595	-599.7881	1000.0	1000.0	75000	22562210.0	9028318.0	83165680.0	3744780.2	22611096.0	9052313.0	79476420.0	4296823.5	-23668876.0	21438970000000.0	858.6459000110626
16	-550.32837	0.93536854	-549.19464	-552.00256	-598.71185	1.2104164	-596.0976	-600.0349	1000.0	1000.0	80000	75489384.0	28689986.0	249815090.0	6912022.5	75646500.0	28745122.0	238410260.0	8398867.0	-80107000.0	326843120000000.0	921.1205251216888
17	-550.19244	1.7143296	-547.30756	-552.5397	-597.3656	2.4120417	-590.4393	-599.5471	1000.0	1000.0	85000	221643580.0	75495410.0	584034050.0	3373329.8	222846240.0	75778984.0	621341200.0	4056622.2	-238260510.0	3537587000000000.0	972.7406759262085
18	-551.0661	1.5808989	-549.12976	-553.8685	-597.6555	3.1184955	-588.495	-599.3343	1000.0	1000.0	90000	539359550.0	162343330.0	1171309800.0	788329.7	545008640.0	163374290.0	1217118600.0	1639696.5	-587484100.0	2.4802846e+16	1024.447932958603
19	-549.75916	0.8749767	-548.619	-550.9025	-597.79193	2.6786761	-590.1991	-599.73334	1000.0	1000.0	95000	1105428600.0	300126560.0	2255951000.0	1346801.1	1120138100.0	299861440.0	2243745800.0	814227.25	-1205871000.0	1.1548817e+17	1076.1205339431763
20	-551.2843	0.86096567	-550.29004	-552.64764	-597.60583	0.8793475	-595.8521	-598.84485	1000.0	1000.0	100000	1996949400.0	508213250.0	3879983900.0	887990.7	2026143200.0	505295650.0	3933034500.0	197367.66	-2182888700.0	4.017757e+17	1127.966295003891
21	-550.4474	2.011861	-546.7006	-552.3259	-598.2589	0.9526397	-596.40753	-600.0862	1000.0	1000.0	105000	3299087600.0	793981000.0	5970120700.0	72704.38	3345159200.0	783840060.0	6144574500.0	71004.52	-3593872600.0	1.120651e+18	1184.826709985733
22	-550.7605	2.8586109	-545.07196	-552.674	-598.0239	0.52772534	-597.19446	-598.5747	1000.0	1000.0	110000	5084561000.0	1183259400.0	9170785000.0	1505283.9	5157060000.0	1164091800.0	9095310000.0	102147.37	-5549211600.0	2.733911e+18	1247.3414421081543
23	-548.6579	3.2156348	-544.3194	-552.4547	-598.6204	0.7026731	-597.7955	-600.17084	1000.0	1000.0	115000	7451497000.0	1670311600.0	12978138000.0	101839.555	7546832000.0	1652196400.0	12979546000.0	127864.62	-8134299000.0	5.927492e+18	1308.945883989334
24	-550.1608	0.58782583	-549.0571	-550.81885	-598.24475	1.0086943	-596.3597	-599.3674	1000.0	1000.0	120000	10442110000.0	2289110300.0	17504834000.0	113526.57	10582732000.0	2249090000.0	18091112000.0	150591.25	-11416674000.0	1.1841575e+19	1362.9388999938965
25	-550.223	2.1260614	-546.2975	-552.737	-598.1786	0.6010922	-596.7736	-598.9984	1000.0	1000.0	125000	14177120000.0	3023847700.0	23572222000.0	145240.45	14353578000.0	2972925200.0	23983976000.0	183166.48	-15410084000.0	2.1532642e+19	1419.4145829677582
26	-550.2633	0.711167	-549.2396	-551.0779	-598.55994	1.0786026	-596.84406	-599.84436	1000.0	1000.0	130000	18686860000.0	3907492600.0	31328490000.0	184329.03	18908424000.0	3828133600.0	32079034000.0	225941.33	-20307337000.0	3.7188804e+19	1475.2935440540314
27	-550.85046	0.50960255	-549.9883	-551.3812	-597.5706	2.9009902	-589.50836	-600.2993	1000.0	1000.0	135000	24064186000.0	4924909000.0	38930895000.0	197735.94	24351283000.0	4837033000.0	40333450000.0	250827.02	-26054130000.0	6.1088826e+19	1529.8254690170288
28	-550.4114	1.5686132	-548.148	-552.23206	-598.33997	0.6964033	-597.40326	-599.9396	1000.0	1000.0	140000	30446434000.0	6124477000.0	49417410000.0	255064.8	30760888000.0	5988185600.0	51254110000.0	312065.12	-33024776000.0	9.657895e+19	1589.076173067093
29	-548.68976	2.4495869	-544.97925	-551.79156	-598.45984	0.8013821	-597.102	-599.73755	1000.0	1000.0	145000	37917130000.0	7530943500.0	60247597000.0	277308.84	38344122000.0	7366297000.0	62616820000.0	356252.9	-40883250000.0	1.4764408e+20	1650.8504528999329
30	-550.87366	1.530202	-549.3729	-553.29895	-597.64386	2.8786345	-589.1297	-599.4439	1000.0	1000.0	150000	46569050000.0	9060237000.0	74903945000.0	332337.12	46978250000.0	8875579000.0	76542600000.0	396932.62	-50160480000.0	2.1786761e+20	1727.6242859363556
31	-550.2951	0.9764598	-548.68097	-551.7339	-598.0586	1.1516443	-596.06946	-599.90137	1000.0	1000.0	155000	56345666000.0	10757637000.0	90373980000.0	378405.7	56843900000.0	10591107000.0	90696180000.0	464783.3	-60653818000.0	3.17999e+20	1804.3651149272919
32	-549.0903	1.2475076	-547.3871	-551.24054	-597.95074	3.0314963	-589.1321	-600.9171	1000.0	1000.0	160000	67454833000.0	12741049000.0	104855710000.0	413719.5	68050540000.0	12505936000.0	109709060000.0	490688.22	-72876350000.0	4.5330085e+20	1887.1788218021393
33	-550.28656	1.4994911	-548.9166	-553.10803	-598.37634	1.2775377	-595.86755	-600.3504	1000.0	1000.0	165000	80116890000.0	14876197000.0	130154200000.0	454903.94	80922630000.0	14635066000.0	127226980000.0	561541.9	-86251240000.0	6.240856e+20	1974.1615250110626
34	-549.8026	1.6523246	-548.2872	-552.95386	-596.48944	3.2265763	-590.2173	-599.1865	1000.0	1000.0	170000	94237150000.0	17272328000.0	147210830000.0	536522.2	95101600000.0	16963720000.0	150108360000.0	641046.1	-100835230000.0	8.516486e+20	2060.3461377620697
35	-550.3669	1.1455841	-548.47076	-551.789	-598.62463	1.2444136	-596.6991	-600.8687	1000.0	1000.0	175000	109847520000.0	19940545000.0	168162000000.0	595734.94	110783365000.0	19625814000.0	173264130000.0	692375.8	-117666480000.0	1.15277436e+21	2155.2820768356323
36	-551.5482	0.99855363	-550.1724	-553.0505	-597.5159	2.6013007	-590.1414	-599.47845	1000.0	1000.0	180000	127216755000.0	22650016000.0	194689340000.0	650778.94	128577446000.0	22252376000.0	198698040000.0	769735.94	-136232360000.0	1.5043273e+21	2236.3607959747314
37	-550.1608	1.6977469	-547.6855	-551.74	-597.0362	2.3639543	-590.30365	-598.7812	1000.0	1000.0	185000	146352820000.0	25870717000.0	223742530000.0	709007.75	148110500000.0	25443715000.0	235164530000.0	846269.56	-156443380000.0	1.9526132e+21	2314.668335914612
38	-550.9475	1.7535532	-548.71075	-553.81366	-598.669	1.0506545	-597.31384	-600.36005	1000.0	1000.0	190000	167134690000.0	29072853000.0	262054350000.0	780533.0	169362820000.0	28863603000.0	267590630000.0	913737.06	-178878970000.0	2.5110228e+21	2392.4644191265106
39	-550.7565	1.7598871	-549.3098	-554.09845	-598.4543	0.74318403	-597.0192	-599.5752	1000.0	1000.0	195000	190370450000.0	32912955000.0	290277650000.0	17599340.0	192726060000.0	32581102000.0	300873680000.0	5458387.0	-202507940000.0	3.185185e+21	2470.560914993286
40	-550.3332	1.4037846	-548.0054	-551.93896	-597.1656	3.2677443	-590.03125	-599.6477	1000.0	1000.0	200000	214788310000.0	36795600000.0	325692820000.0	869265.25	218294650000.0	36215350000.0	340540980000.0	1067062.1	-229336380000.0	4.030901e+21	2550.7658569812775
41	-551.49585	1.3727181	-549.8704	-553.39594	-598.26575	1.1400127	-596.6143	-600.3259	1000.0	1000.0	205000	241790420000.0	40866963000.0	372277380000.0	941942.9	245888520000.0	40635160000.0	379081000000.0	13717325.0	-257871100000.0	5.024808e+21	2628.378042936325
42	-550.8227	0.78138554	-549.54675	-551.7451	-598.554	1.4274836	-596.74646	-601.3637	1000.0	1000.0	210000	271014770000.0	45165445000.0	404739750000.0	1109960.0	275901020000.0	44843980000.0	419399370000.0	1225530.6	-288463680000.0	6.176976e+21	2705.3797178268433
43	-550.64667	1.1006088	-549.27716	-552.2979	-598.0842	0.94000155	-596.2931	-599.8375	1000.0	1000.0	215000	303073920000.0	50000265000.0	455366900000.0	1167612.0	308409140000.0	49629300000.0	486384960000.0	1318096.8	-321326320000.0	7.5252144e+21	2782.589117050171
44	-550.19714	1.1850631	-548.83075	-552.0259	-598.00476	0.6461179	-597.0887	-599.1005	1000.0	1000.0	220000	336875160000.0	55349567000.0	516786600000.0	1203952.5	342907260000.0	54969890000.0	531501680000.0	1512274.1	-356855350000.0	9.240679e+21	2859.7272131443024
45	-549.908	1.7550813	-547.16254	-551.7438	-598.97034	0.73358375	-597.18976	-599.85443	1000.0	1000.0	225000	372581140000.0	60412314000.0	559767900000.0	1304578.5	380121450000.0	60128543000.0	594869900000.0	1548109.8	-394775630000.0	1.1214918e+22	2936.9979860782623
