Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-307.79987	61.25396	-206.93297	-389.52994	-395.20792	28.112017	-354.68283	-431.9059	1000.0	1000.0	5000	1.0935863	2.8839555	16.28661	-8.133095	-1.7834834	0.1958947	65.0769190788269
2	-230.88997	60.963745	-181.34021	-350.65744	-477.19867	193.4599	-202.4446	-821.1578	1000.0	1000.0	10000	9.482238	6.7951427	39.716797	-7.9723244	-11.112115	0.6346064	127.01177406311035
3	-122.71721	260.61295	343.69144	-434.2561	-403.71326	45.903755	-336.03598	-472.3296	1000.0	1000.0	15000	21.618425	9.078983	65.324265	2.9882894	-23.075766	1.3575611	199.84139108657837
4	-170.56264	86.17628	-56.009434	-278.99466	171.57071	174.06087	429.84985	-151.26268	1000.0	1000.0	20000	33.73576	12.961995	79.177765	7.762355	-35.303226	2.0385756	279.3825931549072
5	548.3089	383.99686	900.18787	-43.224903	1340.4453	245.80374	1556.5155	831.21857	1000.0	1000.0	25000	42.45436	18.745398	98.19626	15.755289	-43.68588	2.166964	353.76371002197266
6	2099.86	348.7444	2618.4578	1634.3348	2342.0984	146.40625	2616.985	2181.666	1000.0	1000.0	30000	58.131584	27.504692	126.97702	17.526697	-59.573013	2.5310776	438.5129499435425
7	2623.3066	193.4413	2858.6426	2331.0342	2750.3677	578.5301	3064.8315	1032.322	1000.0	1000.0	35000	79.04204	35.43487	155.70918	23.056839	-80.81619	3.2772508	514.8276941776276
8	3178.7205	194.07788	3329.7544	2810.1326	3442.2534	199.16731	3647.3455	2945.66	1000.0	1000.0	40000	102.477486	42.120155	186.797	31.671799	-104.25288	4.127786	587.5522129535675
9	2346.4185	1660.305	3842.571	93.801445	2801.6501	1427.167	3977.0278	-113.07082	1000.0	1000.0	45000	125.02285	48.686752	224.70445	42.4846	-126.88127	5.03555	657.6741161346436
10	1946.4883	951.2655	3241.7683	351.2686	2242.7224	1176.4835	3764.3818	334.45276	1000.0	1000.0	50000	142.24696	58.560635	252.09558	48.102737	-143.74838	6.561061	727.8403809070587
