Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-258.9218	63.105118	-186.58809	-345.19806	-476.92236	18.675905	-451.43408	-508.0799	1000.0	1000.0	5000	1.3517209	3.9865391	20.87734	-9.833164	-2.2038097	0.16602534	50.2703640460968
2	-211.37341	95.64288	-110.67438	-361.01483	-519.8872	5.9339933	-510.15442	-532.8343	1000.0	1000.0	10000	12.061428	9.694881	39.600014	-10.567765	-13.742133	0.61030567	97.76303911209106
3	-501.13177	117.48064	-338.6615	-705.2658	-726.7292	36.91837	-672.85254	-796.74176	1000.0	1000.0	15000	24.173172	8.711819	46.91947	-3.6721392	-25.209332	0.76783437	151.9152410030365
4	-145.14104	463.79425	700.60046	-694.6776	598.67487	87.27113	720.3757	461.7784	1000.0	1000.0	20000	25.287714	6.513093	51.00989	6.031922	-25.878218	0.822001	214.3262140750885
5	395.9698	408.15643	877.94965	-349.92606	236.99475	285.17828	505.3146	-559.2967	1000.0	1000.0	25000	32.798836	9.973496	74.322495	11.550749	-34.766907	1.655417	279.026593208313
6	-422.68555	142.39433	-191.50922	-623.1142	-734.6661	302.0142	-26.473566	-978.87775	1000.0	1000.0	30000	49.98527	13.226909	89.164276	16.222498	-51.981987	2.330077	340.92617988586426
7	-339.60352	424.56464	485.84723	-728.764	-211.28989	425.39066	931.6985	-560.32446	1000.0	1000.0	35000	53.93489	14.940057	94.27007	13.636928	-55.01503	2.1860454	398.42448711395264
8	23.216076	432.75595	634.2592	-574.3496	341.93628	695.50244	1824.9148	-447.81427	1000.0	1000.0	40000	55.500732	18.47754	105.730255	12.898719	-56.459545	2.343875	451.76831221580505
9	64.6188	770.6464	1539.7716	-547.3991	827.7212	745.9057	1913.5917	-142.62524	1000.0	1000.0	45000	55.67181	22.817204	121.08483	8.024712	-56.530476	2.7069788	506.6424341201782
10	980.8275	794.71045	1573.1293	-558.317	1808.7494	580.9934	2298.1797	285.50717	1000.0	1000.0	50000	59.505135	28.632317	138.52551	7.240237	-60.613937	3.1796288	561.1942522525787
11	1927.28	543.15826	2376.8257	943.5451	877.7064	824.7638	2343.9194	-19.57111	1000.0	1000.0	55000	68.853615	36.591812	165.06999	5.8433304	-70.08319	4.4784913	621.399570941925
12	1398.9868	856.4582	2158.7385	56.7071	865.9417	789.5782	2143.5767	-423.41208	1000.0	1000.0	60000	79.45828	45.160797	195.4617	-2.9585376	-80.92851	5.9542947	674.2136631011963
13	1123.8939	893.4223	2400.2612	-28.123688	1599.8616	1001.92017	2918.5854	134.48021	1000.0	1000.0	65000	90.50508	53.059223	207.85246	-4.040855	-91.96721	7.2788014	738.4090230464935
14	2241.268	1135.8436	3130.127	-4.8070393	1965.967	1137.6198	3127.7937	69.74197	1000.0	1000.0	70000	101.807884	61.223534	230.3203	-5.502954	-103.577675	7.6938357	806.2949159145355
15	1675.8258	1355.7957	3051.948	-72.19378	2901.9165	477.5002	3375.5635	1801.0039	1000.0	1000.0	75000	115.80958	68.41868	250.58844	-1.6451981	-117.5398	8.550754	873.7058761119843
16	3348.552	170.59636	3656.506	3170.1052	3080.0278	976.9781	3766.2632	810.00336	1000.0	1000.0	80000	131.47658	75.62721	271.6104	4.064227	-133.41243	9.799842	941.9357919692993
17	3316.8965	371.5039	3634.36	2658.1936	3750.85	137.98035	3912.232	3444.373	1000.0	1000.0	85000	149.84546	81.69444	296.56036	0.49587643	-151.8634	11.189637	1013.0346481800079
18	3923.6602	287.8057	4346.512	3545.1174	2940.286	1459.6913	4345.5757	629.30774	1000.0	1000.0	90000	169.25375	87.40921	316.51117	4.3199353	-171.32747	12.23416	1075.1048982143402
19	3315.4324	1876.531	4460.599	-419.0001	4453.919	513.5144	4963.269	3126.0547	1000.0	1000.0	95000	187.56618	93.74845	342.32217	1.765161	-189.84213	12.861632	1135.7202970981598
20	3234.3975	1281.0128	4283.1665	829.9693	4268.79	842.69165	4850.8853	1768.6245	1000.0	1000.0	100000	204.13748	100.79091	368.72195	-2.6461322	-206.261	14.101906	1199.0630118846893
21	4683.79	102.28088	4785.622	4490.446	4799.35	310.7734	5245.0225	4051.1624	1000.0	1000.0	105000	220.61604	107.90144	391.93387	7.8640385	-222.85835	15.111115	1259.2110760211945
