Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-280.08463	66.75081	-220.33096	-405.2384	-600.5757	1.2986902	-598.0603	-602.2957	1000.0	1000.0	5000	1.1394451	2.0006082	13.116472	-9.579973	-1.6898824	0.3209147	99.28060698509216
2	-251.52896	68.70695	-192.48024	-385.60785	-591.39496	1.8037136	-587.8652	-594.85297	1000.0	1000.0	10000	3.1739256	3.3029687	19.662735	-10.618124	-3.5687687	0.85807335	203.43742394447327
3	-478.5957	146.49585	-185.721	-559.19476	-256.52945	17.25897	-233.10915	-283.1695	1000.0	1000.0	15000	2.6555958	4.0669017	23.279783	-7.8465395	-2.810634	0.56589323	311.415118932724
4	-203.48454	14.585517	-178.18352	-221.80515	-549.39746	51.468594	-446.4627	-604.3733	1000.0	1000.0	20000	0.8291457	3.4396858	11.390465	-10.704361	-0.8914885	0.39235836	393.3515169620514
5	-247.80891	80.07533	-176.55446	-404.10956	-261.93744	22.155825	-218.54866	-301.41907	1000.0	1000.0	25000	-0.853511	3.2543597	11.294365	-14.528372	0.8712053	0.30018416	474.59063696861267
6	-200.9727	19.785973	-187.05219	-239.31442	-262.17255	15.789133	-231.57193	-289.60687	1000.0	1000.0	30000	-2.468401	3.1540442	12.391839	-18.405598	2.463478	0.28820786	561.4838759899139
7	-435.64484	125.333786	-197.35835	-526.7452	-562.66797	9.488204	-539.5201	-573.27655	1000.0	1000.0	35000	-2.0211108	4.579327	14.686595	-23.378447	1.3742795	0.48900405	645.8892481327057
8	-489.4227	38.1666	-423.18936	-520.73706	-556.5402	6.540945	-540.3482	-561.91534	1000.0	1000.0	40000	0.46215615	8.427525	15.851667	-21.246853	-0.84186584	0.43318632	728.3645670413971
9	-535.7033	30.01056	-508.4757	-588.31354	-1157.0554	40.579803	-1081.5819	-1225.6512	1000.0	1000.0	45000	-2.7102082	10.442281	14.724018	-26.21893	2.6824646	0.37216944	808.7706551551819
10	-762.4892	287.4453	-482.42914	-1125.0469	-488.73862	4.233514	-481.25607	-494.59717	1000.0	1000.0	50000	-5.6103134	10.805355	11.877586	-28.408613	5.565649	0.4824914	892.3698341846466
11	-369.30936	189.62778	-60.834442	-559.04395	53.340233	37.09995	113.490395	-0.6169514	1000.0	1000.0	55000	-8.27281	9.731091	9.609245	-30.242447	8.295906	0.29577032	972.7170159816742
12	118.65377	175.99937	246.61089	-227.1265	-527.67975	43.9313	-437.8804	-573.8531	1000.0	1000.0	60000	-10.38359	8.860667	3.9321086	-35.26361	10.318115	0.43951523	1061.1748099327087
13	74.430176	286.36374	237.50215	-497.67117	84.47216	25.166164	121.914665	40.965107	1000.0	1000.0	65000	-11.045392	10.166087	3.1936164	-37.35523	10.897111	0.4363291	1141.3061408996582
14	154.73006	37.540268	201.23857	93.6983	145.86057	29.971176	196.66309	96.653595	1000.0	1000.0	70000	-9.851126	10.510046	4.7495084	-38.103554	9.556644	0.3852219	1221.381961107254
15	-88.68324	274.13452	248.82672	-382.6061	148.96536	46.817017	212.32156	73.280426	1000.0	1000.0	75000	-8.856297	10.808482	7.441149	-38.147522	8.781117	0.3923205	1301.5943880081177
16	217.23413	31.043615	256.81985	161.25458	158.48294	34.429665	214.84018	125.226204	1000.0	1000.0	80000	-8.99127	10.339991	5.3652835	-39.4286	8.787842	0.42052206	1382.2661759853363
17	203.31364	37.00031	246.43735	152.86382	182.76932	38.122005	237.78882	91.43429	1000.0	1000.0	85000	-7.449286	9.952802	6.029161	-37.52648	7.15597	0.39109057	1461.8522188663483
18	242.98657	26.266392	265.55008	194.78662	156.62202	26.14551	190.23636	116.74639	1000.0	1000.0	90000	-6.1955137	9.273912	6.850774	-33.950977	5.9554567	0.27509496	1541.4820430278778
19	228.76009	26.143272	259.14108	190.68155	160.2013	28.46148	199.59903	111.55148	1000.0	1000.0	95000	-4.678616	9.596264	8.729407	-33.783184	4.393578	0.3469636	1620.4803409576416
