Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-300.6634	81.313255	-216.69806	-444.99628	-457.12036	154.2862	-154.21428	-659.47107	1000.0	1000.0	5000	2.048715	2.7800927	19.324434	-5.6361184	-2.9092605	0.12690356	104.67717623710632
2	-320.661	65.404816	-259.68945	-431.533	-847.00604	264.0175	-592.85455	-1298.3042	1000.0	1000.0	10000	15.888314	8.330831	52.345284	-5.4637256	-18.47507	0.839117	193.0056872367859
3	-500.23282	131.2145	-276.05408	-675.5104	-1021.5885	61.938892	-893.3106	-1082.8927	1000.0	1000.0	15000	32.43378	9.644973	60.005516	10.620816	-33.521793	1.2776351	283.12886810302734
4	-501.30112	221.0764	-149.59492	-840.2877	-568.98303	62.88047	-388.76944	-602.5634	1000.0	1000.0	20000	34.701687	10.820655	70.10443	5.532663	-36.10636	1.3716158	378.4862070083618
5	-402.61188	300.8972	99.85474	-837.48346	-754.59717	86.28297	-605.94885	-860.2677	1000.0	1000.0	25000	38.863194	12.508931	70.60834	7.981932	-39.981956	1.2240893	470.7813150882721
6	-257.68018	405.9454	441.9994	-732.7257	-632.52844	109.15369	-446.83856	-854.6264	1000.0	1000.0	30000	39.646908	14.6332445	80.89147	6.582558	-40.575726	1.4943924	559.4403851032257
7	-56.61725	287.10175	291.15588	-497.70303	573.4879	235.11159	814.34503	-44.66246	1000.0	1000.0	35000	41.08939	17.810013	91.780785	3.3899367	-41.83983	1.7059644	650.2906382083893
8	1129.7063	447.15457	1760.6667	572.21387	825.0002	702.6461	1927.3286	-11.034715	1000.0	1000.0	40000	44.826626	20.911516	109.1696	3.7595205	-45.794292	2.4204946	739.7624461650848
9	1527.8893	1111.9801	2658.6853	155.67741	2843.173	140.2682	3032.8496	2522.5442	1000.0	1000.0	45000	52.895527	28.837284	147.50487	0.486686	-54.197533	3.6133375	830.3426470756531
10	3165.4006	889.0756	4034.4453	1809.7528	2989.7825	140.47939	3241.805	2784.2249	1000.0	1000.0	50000	68.58456	41.441044	186.51628	-0.2994951	-70.04681	5.296995	920.0842161178589
11	3421.937	465.1207	3922.2136	2635.3616	3845.543	133.16765	4112.1045	3730.7847	1000.0	1000.0	55000	88.714195	55.097385	215.62477	-0.49821806	-90.38849	7.008382	1008.64129114151
12	3934.9712	138.81407	4107.2524	3690.0872	3752.7207	260.09512	4218.655	3405.7615	1000.0	1000.0	60000	111.31656	67.8401	243.56885	-4.474738	-113.02225	8.69136	1097.9532759189606
13	3041.306	898.7846	3926.318	1382.6775	3511.7622	186.8669	3818.18	3240.5098	1000.0	1000.0	65000	131.96597	77.55667	265.08286	-3.9226332	-133.75568	10.622361	1185.2747540473938
14	3814.5864	174.034	3985.1653	3494.014	3841.0684	106.0113	3963.4927	3589.9434	1000.0	1000.0	70000	152.75879	85.363655	280.59283	-2.5361006	-154.60986	10.911596	1273.9973199367523
15	3719.9219	516.1385	4162.4995	2734.3894	3423.0005	304.62122	3974.1929	2965.6765	1000.0	1000.0	75000	172.26825	92.219055	297.51776	-5.8909054	-174.12233	11.695708	1363.4040541648865
16	3858.2046	153.47075	4082.8857	3650.8132	3772.241	138.31543	3940.6826	3510.0977	1000.0	1000.0	80000	189.72502	98.23081	309.4241	-5.627617	-191.32698	11.606484	1454.766841173172
17	3851.7168	233.7031	4198.27	3520.5483	3957.7202	214.74675	4299.263	3642.636	1000.0	1000.0	85000	206.12782	102.368904	320.99167	-8.570135	-207.82227	11.707591	1539.5079901218414
18	3075.8542	1011.9071	3920.9858	1158.8196	3542.548	686.09674	4098.9155	1582.5302	1000.0	1000.0	90000	219.1739	104.31075	329.07196	-8.492356	-220.67058	10.704623	1624.8395788669586
19	3899.2078	129.12413	4127.229	3729.7246	4035.2632	149.67218	4199.749	3667.9338	1000.0	1000.0	95000	230.67813	106.02952	337.22	-33.61465	-232.01257	10.691025	1717.0099489688873
20	3924.2961	120.07616	4082.517	3741.5645	4026.2258	353.0656	4528.692	3364.8855	1000.0	1000.0	100000	242.27682	108.49685	346.4699	-12.528132	-243.51195	10.391949	1803.3110520839691
21	3910.8406	239.58817	4162.6646	3541.2974	3779.5444	155.61319	4009.874	3551.4	1000.0	1000.0	105000	253.41835	109.60856	356.0797	-10.070886	-254.66225	10.559203	1895.2092831134796
22	4138.428	200.72368	4412.7324	3880.2795	3633.7253	1799.7969	5028.951	224.56235	1000.0	1000.0	110000	264.1572	110.43632	370.4039	-7.9879694	-265.5611	10.750767	1990.7041490077972
23	4329.9697	533.44836	5222.098	3780.9243	3880.4429	187.76111	4169.317	3651.6792	1000.0	1000.0	115000	274.91147	111.49463	384.22385	-8.816949	-276.46286	10.751589	2081.736715078354
