Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-304.00272	63.374786	-185.13371	-371.84445	-389.66196	111.99267	-276.99518	-584.5983	1000.0	1000.0	5000	2.39647	2.6127079	16.185617	-3.6658294	-3.268804	0.41330138	40.926490783691406
2	-308.64673	34.631313	-255.56897	-346.57407	-552.85205	62.79585	-458.19153	-658.79065	1000.0	1000.0	10000	14.612092	6.8743567	40.310284	-2.1216404	-16.73719	2.103564	82.58184289932251
3	-562.6852	108.96243	-467.76956	-744.2871	-660.10596	18.413746	-626.6709	-688.86487	1000.0	1000.0	15000	37.10882	7.583015	66.7342	14.704049	-39.518692	5.7409296	127.11000490188599
4	-552.57043	27.106808	-511.57288	-595.402	-760.78125	15.320617	-738.5527	-788.79297	1000.0	1000.0	20000	46.868366	4.390916	66.33092	29.386211	-47.759064	6.124475	171.5201849937439
5	-480.36835	138.79248	-287.79373	-666.2303	-588.4962	189.43896	-247.00197	-858.11096	1000.0	1000.0	25000	45.20138	3.4863195	79.00887	32.44952	-46.095413	5.056659	216.1293430328369
6	-587.07556	94.659904	-500.93845	-768.07684	-305.82373	44.246365	-248.33064	-381.81433	1000.0	1000.0	30000	46.410458	4.8002706	75.74202	29.547346	-47.177418	5.5095124	261.008996963501
7	-234.37476	155.15036	62.800083	-381.17865	-785.71106	34.644184	-744.6796	-864.40125	1000.0	1000.0	35000	43.13294	4.4399447	71.36886	25.97697	-43.81068	4.492404	304.78732895851135
8	-469.5551	221.30818	-187.79329	-837.24457	-620.7728	180.90646	-171.1942	-773.3365	1000.0	1000.0	40000	39.51895	4.5626316	60.770645	24.322151	-39.997322	3.8909733	349.27544593811035
9	-327.8747	214.66843	34.250477	-609.79913	-93.28853	129.84486	116.620514	-314.27505	1000.0	1000.0	45000	34.710674	5.0958858	56.829185	17.910027	-35.08952	3.4038532	395.59661293029785
10	-40.43516	84.57654	123.747894	-119.86985	286.24005	150.57799	603.6149	54.433243	1000.0	1000.0	50000	30.82419	5.2366157	54.560524	15.316428	-31.332594	2.9963913	442.91235089302063
11	124.789505	281.7852	594.2939	-248.32446	413.94122	247.4838	790.0112	-39.534363	1000.0	1000.0	55000	29.116264	6.099035	63.81308	5.6820226	-29.699465	3.335661	488.71164298057556
