Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-303.30807	54.37299	-244.4558	-403.38477	-431.28378	26.035994	-369.9966	-465.16757	1000.0	1000.0	5000	2.661863	2.7765808	17.478586	-4.980731	-3.6123695	0.4726624	41.134763956069946
2	-261.71103	65.49963	-170.23593	-358.85974	-538.0856	44.859283	-462.08755	-605.58514	1000.0	1000.0	10000	14.503823	5.635742	35.476036	-1.6771028	-16.319334	2.2135317	80.73088097572327
3	-616.4133	90.13702	-520.9898	-786.26447	-604.49866	24.800278	-567.6547	-651.6942	1000.0	1000.0	15000	27.315735	4.946097	43.86529	5.866027	-28.454212	4.0735674	124.9691162109375
4	40.02878	383.7337	560.39307	-610.10944	-54.76873	155.09161	209.78111	-325.92462	1000.0	1000.0	20000	26.681826	4.826293	48.83499	9.616154	-27.059393	3.3828228	168.7122459411621
5	517.9765	312.96628	912.75665	47.574886	659.7626	248.88945	1133.7018	280.85364	1000.0	1000.0	25000	28.352968	6.887293	68.6957	5.6579723	-28.927643	4.5005507	216.63414192199707
6	53.96687	431.6087	419.4595	-535.5952	674.20764	209.7413	1103.1923	341.3601	1000.0	1000.0	30000	31.395138	10.275437	84.071686	-14.247411	-32.027462	6.956504	260.7191731929779
7	771.2463	318.58777	1094.5681	272.50894	953.2873	113.06229	1129.2534	766.7053	1000.0	1000.0	35000	34.724384	13.688744	100.44964	-7.703216	-35.283825	9.604412	305.61773204803467
8	301.96063	740.43835	1202.584	-639.2732	-404.32086	154.31688	-169.91277	-627.0904	1000.0	1000.0	40000	39.91861	17.782612	111.19249	-90.914566	-40.87557	15.074101	350.16371297836304
9	-117.794716	346.84775	197.37599	-712.6981	1109.4592	752.7961	1843.5137	-483.412	1000.0	1000.0	45000	44.28779	19.94104	119.374275	-38.607517	-44.9747	15.024316	396.32486295700073
10	1015.7108	825.2378	1897.3417	-111.385155	1309.153	412.4886	1936.2898	552.5663	1000.0	1000.0	50000	51.166008	24.236555	127.645096	-21.65484	-52.134224	17.514769	442.00468397140503
11	290.2016	871.307	1338.7903	-703.81366	900.11005	668.92633	1832.9231	-10.252361	1000.0	1000.0	55000	57.63193	29.873396	145.61346	-58.416164	-58.541374	20.1711	489.2506082057953
12	1105.2864	891.58124	1824.909	-569.0739	859.46326	784.6709	1824.8298	-284.95856	1000.0	1000.0	60000	64.16775	35.72606	153.9657	-56.868534	-65.014656	24.467155	535.8934330940247
13	863.817	757.12573	1546.0178	-441.52744	454.60147	733.26874	1822.8385	-591.37115	1000.0	1000.0	65000	69.60606	40.846874	163.03537	-86.29201	-70.30308	26.834068	583.2115080356598
14	315.68253	553.67865	1105.6282	-543.14075	198.84056	741.66504	1576.7491	-596.5729	1000.0	1000.0	70000	71.98238	46.812565	173.16263	-93.98731	-72.738235	29.884493	629.9545788764954
15	1307.0096	664.10254	1792.901	-5.2900696	1337.2229	624.30817	1771.4015	-483.62973	1000.0	1000.0	75000	75.306305	49.918293	175.26787	-80.83725	-75.89168	33.473804	676.9280281066895
16	1673.0547	165.95386	1969.4019	1519.0459	1470.9917	577.32416	1742.7874	-251.26862	1000.0	1000.0	80000	81.38329	51.74576	177.41484	-72.693855	-82.10894	34.656223	720.6939630508423
