Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-331.11188	96.52843	-162.2659	-422.4202	-318.76947	49.526726	-239.9089	-380.4778	1000.0	1000.0	5000	3.566175	4.1076016	23.238092	-7.2008705	-4.9833994	0.21943906	49.49417495727539
2	-259.7807	56.16244	-165.78563	-331.0051	250.25534	171.91202	556.3294	4.9843726	1000.0	1000.0	10000	25.595327	9.726665	55.290005	-4.0426245	-28.414675	0.8084557	102.49537992477417
3	-170.74385	447.13477	273.42172	-1022.4528	-432.03305	119.66724	-145.78304	-610.2243	1000.0	1000.0	15000	47.397953	7.3713894	80.11277	17.13449	-48.914207	1.3168377	155.93524193763733
4	-153.25565	431.83182	443.23373	-812.1583	84.67075	448.9738	1157.7542	-420.3645	1000.0	1000.0	20000	58.824642	11.005436	100.47264	29.805504	-60.80403	2.28781	212.4069848060608
5	376.0009	601.03546	1272.1223	-330.5322	1640.5883	1037.395	2603.5986	-348.76456	1000.0	1000.0	25000	70.93151	17.064823	124.214966	34.13534	-72.5554	2.4863067	266.34262585639954
6	2055.3442	1222.8611	3200.4094	-313.68594	1680.0837	1401.415	3238.0151	-445.7459	1000.0	1000.0	30000	85.069756	26.926544	168.84407	34.016487	-86.861824	3.6247423	325.11623907089233
7	1401.7325	1360.7307	3097.6782	-112.961716	3056.1125	1020.5896	3652.0881	29.866491	1000.0	1000.0	35000	104.28259	38.731968	206.09851	35.592514	-106.36995	4.769968	380.7283399105072
8	2789.676	430.31287	3286.0774	1997.4075	3489.0261	162.7379	3848.8975	3246.01	1000.0	1000.0	40000	127.12556	50.703476	241.75404	33.111267	-129.0854	6.550519	433.80610609054565
9	3575.481	175.76538	3800.453	3277.2932	3554.6108	356.47128	3757.4846	2502.876	1000.0	1000.0	45000	154.0286	61.307064	288.8167	30.95203	-156.14494	8.586593	491.66451501846313
10	3786.8645	807.0522	4367.4136	2194.6738	2859.5435	1242.3278	4027.1377	796.71735	1000.0	1000.0	50000	181.62123	72.06918	326.54218	35.5365	-183.75607	10.488118	554.0528399944305
11	3130.5105	1468.9622	4670.5005	370.7061	3333.515	1168.3691	4651.177	1707.9425	1000.0	1000.0	55000	207.50035	84.00684	363.32962	43.647995	-209.84935	12.117876	613.8475320339203
12	4186.9214	893.04407	4926.5903	2447.3977	4486.5767	841.4852	5034.2407	1995.2021	1000.0	1000.0	60000	234.64172	94.8505	394.642	42.78885	-236.92105	14.70919	672.4834458827972
13	3835.8335	1871.7402	5290.4194	139.16566	4285.446	554.5041	4650.042	2863.0337	1000.0	1000.0	65000	259.3783	106.448906	431.41125	38.641354	-261.50555	16.425821	730.8477418422699
14	4106.154	1283.87	5128.2837	1583.2489	3378.44	1970.8218	5519.212	564.2081	1000.0	1000.0	70000	284.63513	116.22761	458.90393	36.7848	-287.05746	17.846857	785.7318329811096
15	4824.532	507.74158	5446.9956	3914.8123	3751.8567	1428.2966	5321.455	1353.9944	1000.0	1000.0	75000	310.6527	123.18042	484.16388	28.590029	-313.1945	19.173748	843.2545680999756
16	4233.794	1240.3497	5528.822	2117.4236	5177.332	1505.7588	6036.001	749.918	1000.0	1000.0	80000	332.5437	130.44154	506.7873	0.8205575	-334.66687	22.149748	897.2365050315857
17	4865.376	1437.618	5943.4624	2025.6665	5462.271	675.55676	6085.7627	4180.234	1000.0	1000.0	85000	355.33844	136.46178	536.251	13.4490385	-357.57184	23.248701	948.841502904892
18	5662.187	117.43821	5796.465	5469.826	4878.7827	1898.181	6128.0864	187.5231	1000.0	1000.0	90000	377.23257	143.21199	561.0732	18.602818	-379.55353	24.115183	1004.4898819923401
19	4435.714	1675.9966	6245.641	1812.3358	5428.3413	1240.8066	6257.0044	1942.0635	1000.0	1000.0	95000	398.06033	150.10179	611.2063	49.96059	-400.4057	24.868004	1058.7623550891876
20	5887.584	320.6607	6486.3613	5526.148	6022.8945	664.3262	6657.287	4168.8237	1000.0	1000.0	100000	417.70413	157.52478	640.78235	20.385807	-420.20444	27.4257	1114.6957910060883
21	5477.745	578.6438	6352.121	4578.513	6010.3154	1073.066	6596.765	2831.3892	1000.0	1000.0	105000	438.75125	164.30669	663.43286	23.77964	-440.6688	28.483215	1170.9483540058136
22	5097.5312	1551.9445	6604.8726	2664.7764	3112.1843	2403.8193	6019.9805	58.192085	1000.0	1000.0	110000	455.93466	173.57571	687.0539	29.3987	-458.4299	34.85463	1226.7473199367523
23	6027.3735	201.87842	6296.0225	5693.4634	4411.092	2196.21	6990.18	822.22876	1000.0	1000.0	115000	476.81305	178.46399	704.81586	44.47401	-479.25476	38.518856	1281.5180048942566
24	4948.326	1622.9779	6570.7583	2882.5066	6688.913	228.21892	7122.918	6421.8066	1000.0	1000.0	120000	494.37723	183.89746	723.07465	37.272224	-496.93445	41.223164	1339.1601209640503
25	6776.5703	238.68504	7188.7197	6499.8545	6406.49	1840.9812	7310.599	916.01135	1000.0	1000.0	125000	515.4163	186.58296	743.5763	44.32716	-517.719	39.87465	1396.0721259117126
26	6516.4346	273.61435	6898.0933	6091.741	7093.254	360.13055	7463.111	6119.559	1000.0	1000.0	130000	535.8051	189.00249	759.7722	43.507114	-538.5224	40.60211	1453.3137741088867
27	5549.2188	2653.4495	7056.883	251.79974	6845.741	505.80746	7311.7646	5568.37	1000.0	1000.0	135000	551.29004	193.91098	780.08295	14.439611	-553.54364	42.49437	1511.2788598537445
28	6997.232	220.41528	7256.5854	6734.3735	7110.7944	161.41948	7383.2173	6827.611	1000.0	1000.0	140000	570.07007	195.45671	798.98663	42.389473	-572.809	43.370464	1568.221925020218
29	6842.21	464.95474	7419.2876	6323.4097	6715.6875	2363.7666	8063.293	509.91858	1000.0	1000.0	145000	588.6821	195.68283	811.01715	62.95324	-591.0907	44.20405	1628.2464208602905
30	6977.2646	562.09296	7588.553	6096.167	6985.449	589.60394	7508.232	5383.42	1000.0	1000.0	150000	605.624	196.47452	827.4449	-47.74673	-608.4871	45.398117	1687.5385251045227
31	6965.8057	776.5616	7574.0757	5448.614	7496.2046	198.80167	7890.865	7237.5493	1000.0	1000.0	155000	621.88385	197.3318	851.2641	5.143343	-624.9079	48.5049	1746.5674800872803
32	6447.0576	1889.2598	7626.29	2690.5405	6947.4624	1898.423	8086.3354	1855.3864	1000.0	1000.0	160000	636.96313	197.3584	866.49713	82.522125	-639.44214	47.68185	1804.0901548862457
33	7101.039	420.60135	7499.836	6487.282	7279.241	1235.1613	8057.668	3701.263	1000.0	1000.0	165000	652.843	196.00093	874.9596	101.682144	-655.9256	46.58152	1865.3686900138855
34	6632.5845	1133.7421	7847.308	4623.5615	7062.7563	1701.4219	7854.7974	1982.6619	1000.0	1000.0	170000	666.385	195.80975	896.64294	101.41302	-669.2721	48.873207	1925.0806739330292
35	7361.464	275.38385	7746.469	7009.1816	7027.9346	2088.6953	8424.297	1730.5269	1000.0	1000.0	175000	680.01166	192.96559	918.4175	125.698654	-683.19446	51.182995	1981.4010391235352
36	7083.069	905.9898	8267.758	5525.4595	7239.5366	1234.9042	8093.4893	3652.4993	1000.0	1000.0	180000	694.302	189.37302	941.9989	127.057724	-697.6176	50.85659	2035.9471678733826
37	7433.296	509.43332	8319.975	6898.095	8421.66	388.13098	8818.49	7657.7153	1000.0	1000.0	185000	707.7395	186.4565	957.2448	130.60817	-710.8596	52.555813	2089.9767990112305
38	7717.7646	402.48013	8229.542	7084.9985	8709.238	219.72554	8992.493	8206.699	1000.0	1000.0	190000	722.53766	180.04965	972.1346	143.20273	-725.66077	52.594006	2143.899824142456
39	7844.6445	259.73306	8086.3	7364.331	8362.391	335.895	8762.022	7688.2783	1000.0	1000.0	195000	736.0106	174.99062	985.3577	167.52557	-739.31476	52.269657	2199.087103843689
40	8371.86	336.46158	8852.488	7899.3022	7801.633	1588.5586	8718.505	3074.349	1000.0	1000.0	200000	749.77936	171.42255	993.3025	179.5451	-752.9072	52.393803	2253.3669049739838
